hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)"
1, 0.00000, 3.24234E-12, -2.04721E-8, 0.234, 0.047516, 0.234001, 0.0475161
2, 0.00000, 1.51914E-11, -2.05109E-8, 0.234001, 0.047516, 0.234001, 0.0475161
3, 0.00000, 2.00977E-11, -2.05139E-8, 0.234001, 0.047516, 0.234001, 0.0475161
4, 0.00000, -7.09117E-12, -2.0507E-8, 0.233998, 0.0475154, 0.233999, 0.0475157
5, 0.00000, 5.27332E-12, -2.05141E-8, 0.234001, 0.0475161, 0.234001, 0.0475161
6, 0.00000, -6.5631E-12, -2.04993E-8, 0.234001, 0.047516, 0.234001, 0.047516
7, 0.00000, 1.13603E-11, -2.06232E-8, 2.85297, 0.579263, 2.85292, 0.579416
8, 0.00000, 1.86805E-11, -2.04113E-8, 2.9151, 0.591958, 2.9151, 0.591959
9, 0.00000, 5.10525E-12, -2.04654E-8, 1.76872, 0.359195, 1.76871, 0.35919
10, 0.00000, 2.00674E-11, -2.04715E-8, 0.234003, 0.0475166, 0.234003, 0.0475165
11, 0.00000, -2.31054E-12, -2.04276E-8, 0.292131, 0.0593186, 0.292142, 0.0593226
12, 0.00000, -2.03803E-11, -2.03078E-8, 0.914104, 0.18563, 0.914036, 0.185577
13, 0.00000, -9.50592E-12, -2.03242E-8, 1.02971, 0.209091, 1.02967, 0.209074
14, 0.00000, -3.90784E-12, -2.03339E-8, 0.234005, 0.047517, 0.234008, 0.0475175
15, 0.00000, -1.74624E-11, -2.03593E-8, 0.234002, 0.0475162, 0.234002, 0.0475163
16, 0.00000, 1.05633E-12, -2.03494E-8, 0.233997, 0.0475153, 0.233999, 0.0475156
17, 0.00000, 3.59962E-12, -2.02763E-8, 1.05847, 0.214912, 1.05846, 0.214925
18, 0.00000, -2.63285E-11, -2.01005E-8, 1.02503, 0.208144, 1.02503, 0.208142
19, 0.00000, -4.20643E-11, -2.01815E-8, 0.561078, 0.113944, 0.561109, 0.113948
20, 0.00000, -5.08426E-12, -2.02826E-8, 0.731298, 0.148483, 0.7314, 0.148545
21, 0.00000, -2.01461E-11, -2.02771E-8, 0.859629, 0.17455, 0.859622, 0.174543
22, 0.00000, 6.41926E-12, -2.02041E-8, 2.13204, 0.432942, 2.13204, 0.432938
23, 0.00000, -5.39512E-12, -2.02094E-8, 2.19959, 0.446636, 2.19966, 0.446674
24, 0.00000, -2.92699E-11, -2.02215E-8, 0.234021, 0.0475202, 0.234018, 0.0475195
