hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
1, 0.00000, 126.362, -30.4993, 126.718, -150.643, 126.396, 89.3502, 1.62012E-7, 59.4917, 1.88431, -162.121, 1.88912, 77.8718
2, 0.00000, 126.498, -30.3428, 126.737, -150.582, 126.413, 89.3622, 1.62145E-7, 59.6148, 1.88403, -162.06, 1.88886, 77.8838
3, 0.00000, 126.516, -30.3291, 126.733, -150.585, 126.435, 89.3805, 1.62145E-7, 59.6148, 1.88409, -162.064, 1.88854, 77.9021
4, 0.00000, 126.503, -30.3414, 126.937, -150.418, 126.637, 89.5481, 1.62107E-7, 59.6784, 1.88103, -161.896, 1.88551, 78.0698
5, 0.00000, 126.501, -30.3424, 126.909, -150.439, 126.6, 89.5192, 1.62165E-7, 59.6429, 1.88147, -161.918, 1.88607, 78.0408
6, 0.00000, 126.472, -30.3681, 126.932, -150.425, 126.614, 89.529, 1.62086E-7, 59.6503, 1.88113, -161.903, 1.88586, 78.0506
7, 0.00000, 126.843, -30.2145, 126.701, -150.318, 126.744, 89.7909, 1.62588E-7, 59.7539, 22.9768, -161.795, 22.9689, 78.3105
8, 0.00000, 126.2, -30.6567, 126.283, -151, 126.063, 89.1021, 1.61739E-7, 59.2909, 23.555, -162.479, 23.5961, 77.6234
9, 0.00000, 126.337, -30.5222, 126.506, -150.796, 126.28, 89.2763, 1.61991E-7, 59.4635, 14.2667, -162.275, 14.2922, 77.7968
10, 0.00000, 126.351, -30.4981, 126.757, -150.592, 126.461, 89.4134, 1.62021E-7, 59.4457, 1.88376, -162.07, 1.88815, 77.935
11, 0.00000, 126.16, -30.7018, 126.558, -150.801, 126.564, 89.4951, 1.61918E-7, 59.3047, 2.35539, -162.279, 2.35537, 78.0166
12, 0.00000, 125.887, -30.8794, 126.691, -150.656, 126.084, 89.1179, 1.61318E-7, 59.1781, 7.36247, -162.135, 7.39731, 77.6411
13, 0.00000, 125.98, -30.7743, 126.621, -150.667, 125.887, 88.9755, 1.61329E-7, 59.2525, 8.29814, -162.146, 8.34625, 77.4977
14, 0.00000, 125.915, -30.7729, 126.857, -150.826, 126.317, 89.0964, 1.61488E-7, 59.2381, 1.88229, -162.305, 1.89035, 77.618
15, 0.00000, 126.016, -30.6518, 127.018, -150.658, 126.31, 89.09, 1.6156E-7, 59.3973, 1.87986, -162.137, 1.89041, 77.6117
16, 0.00000, 126.003, -30.6845, 126.889, -150.785, 126.26, 89.0479, 1.61499E-7, 59.3125, 1.88174, -162.264, 1.89113, 77.5695
17, 0.00000, 125.754, -30.9252, 126.513, -151.107, 125.869, 88.7598, 1.61238E-7, 59.0646, 8.53721, -162.585, 8.58084, 77.2818
18, 0.00000, 125.249, -31.4879, 126.341, -151.006, 125.435, 88.5579, 1.60484E-7, 58.5872, 8.27874, -162.485, 8.33851, 77.0795
19, 0.00000, 125.453, -31.2787, 126.675, -150.699, 125.679, 88.7391, 1.60869E-7, 58.8407, 4.51968, -162.178, 4.55575, 77.2597
20, 0.00000, 125.723, -31.1235, 126.369, -150.992, 126.141, 89.1021, 1.61328E-7, 58.8909, 5.90508, -162.47, 5.91665, 77.6216
21, 0.00000, 125.728, -31.0561, 126.217, -151.083, 125.931, 88.9946, 1.61278E-7, 59.0008, 6.9497, -162.561, 6.96543, 77.5169
22, 0.00000, 125.57, -31.1588, 126.099, -151.153, 125.5, 88.6609, 1.609E-7, 58.823, 17.2528, -162.632, 17.3351, 77.1823
23, 0.00000, 125.587, -31.1639, 125.955, -151.292, 125.469, 88.6281, 1.60919E-7, 58.8514, 17.8197, -162.771, 17.8893, 77.1494
24, 0.00000, 125.608, -31.0716, 126.595, -150.718, 125.656, 88.7701, 1.60988E-7, 59.0114, 1.8863, -162.197, 1.90038, 77.2917
