hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
1, 0.00000, 126.448, -30.5006, 126.8, -150.62, 126.564, 89.3719, 63.7203, -53.6997, 76.6706, -141.569, 134.973, 83.8136
2, 0.00000, 126.568, -30.3454, 126.829, -150.558, 126.576, 89.3835, 52.3243, -56.1859, 85.2551, -143.657, 132.403, 83.9657
3, 0.00000, 126.582, -30.3321, 126.827, -150.561, 126.594, 89.4016, 48.6157, -57.2959, 85.0735, -143.615, 128.386, 84.1746
4, 0.00000, 126.571, -30.3443, 126.99, -150.397, 126.757, 89.5661, 49.9153, -56.8713, 50.4321, -129.579, 91.8985, 86.8234
5, 0.00000, 126.57, -30.3451, 126.97, -150.418, 126.729, 89.5379, 50.8021, -56.6067, 55.0622, -132.61, 98.1496, 86.2365
6, 0.00000, 126.545, -30.3705, 126.983, -150.404, 126.739, 89.5472, 54.0216, -55.7257, 50.4168, -129.583, 96.0736, 86.418
7, 0.00000, 126.859, -30.2134, 126.76, -150.314, 126.819, 89.7966, 11.5253, -41.6795, 33.9344, -161.799, 45.4516, 78.3153
8, 0.00000, 126.293, -30.6575, 126.448, -150.971, 126.321, 89.1308, 68.8562, -52.9438, 123.401, -149.934, 188.719, 81.8436
9, 0.00000, 126.415, -30.5242, 126.641, -150.769, 126.493, 89.3014, 57.749, -54.9364, 97.4728, -146.288, 150.693, 83.092
10, 0.00000, 126.436, -30.4996, 126.837, -150.569, 126.626, 89.4348, 62.3284, -53.9401, 65.0536, -137.673, 121.03, 84.5218
11, 0.00000, 126.231, -30.7043, 126.626, -150.779, 126.704, 89.5145, 52.9774, -56.2344, 57.6731, -134.454, 103.341, 85.6774
12, 0.00000, 126.061, -30.874, 126.769, -150.633, 126.336, 89.146, 128.536, -48.1019, 62.9605, -136.987, 185.332, 81.9008
13, 0.00000, 126.158, -30.7686, 126.754, -150.64, 126.198, 89.0083, 131.249, -47.8948, 88.8595, -144.658, 216.06, 81.1721
14, 0.00000, 126.009, -30.7737, 126.918, -150.805, 126.472, 89.1169, 69.0622, -53.0382, 55.3305, -133.295, 117.01, 84.3884
15, 0.00000, 126.118, -30.652, 127.074, -150.637, 126.467, 89.1108, 74.9845, -52.0801, 51.2845, -130.608, 118.306, 84.3411
16, 0.00000, 126.097, -30.6853, 126.96, -150.763, 126.425, 89.0693, 69.3119, -52.9322, 64.582, -137.733, 127.613, 83.7972
17, 0.00000, 125.878, -30.9237, 126.66, -151.079, 126.14, 88.7895, 91.4308, -50.5281, 102.427, -147.456, 190.106, 81.444
18, 0.00000, 125.487, -31.4693, 126.435, -150.999, 125.767, 88.5837, 177.805, -42.9816, 63.6696, -162.483, 241.632, 77.0699
19, 0.00000, 125.679, -31.2612, 126.719, -150.695, 125.948, 88.76, 168.932, -42.7713, 33.1973, -162.172, 202.07, 77.2505
20, 0.00000, 125.83, -31.1152, 126.427, -150.988, 126.306, 89.1148, 80.0698, -42.6111, 42.8889, -162.469, 122.769, 77.6204
21, 0.00000, 125.883, -31.0521, 126.346, -151.057, 126.215, 89.0252, 114.537, -48.9811, 101.537, -147.24, 212.224, 81.2559
22, 0.00000, 125.778, -31.1507, 126.274, -151.123, 125.884, 88.6995, 154.229, -47.4295, 133.186, -151.057, 284.939, 79.9767
23, 0.00000, 125.781, -31.1569, 126.142, -151.261, 125.85, 88.6665, 143.17, -47.803, 151.323, -152.597, 292.314, 79.8752
24, 0.00000, 125.852, -31.0607, 126.689, -150.694, 125.993, 88.805, 180.358, -46.6529, 85.2237, -143.926, 261.391, 80.3426
