hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)"
1, 0.00000, 2.96942, 0.602222, 8.4512, 1.04356, 11.4379, 1.64737
2, 0.00000, 1.51953, 0.308346, 9.58561, 1.27329, 11.1153, 1.58262
3, 0.00000, 1.04215, 0.21152, 9.56277, 1.2686, 10.612, 1.48079
4, 0.00000, 1.20025, 0.243612, 4.80998, 0.305401, 6.01506, 0.549385
5, 0.00000, 1.31574, 0.26704, 5.48242, 0.442006, 6.80333, 0.709541
6, 0.00000, 1.72755, 0.350546, 4.80689, 0.305054, 6.54057, 0.656171
7, 0.00000, 1.43397, 0.291024, 4.2231, 0.856513, 5.6617, 1.14793
8, 0.00000, 6.96588, 0.73989, 11.1995, 2.26906, 18.2217, 3.01411
9, 0.00000, 5.54387, 0.452615, 7.87292, 1.59583, 13.4493, 2.05145
10, 0.00000, 6.12321, 0.569629, 3.57801, 0.725636, 9.71848, 1.2971
11, 0.00000, 4.9159, 0.325628, 2.56427, 0.520747, 7.49142, 0.847091
12, 0.00000, 14.5095, 2.2573, 3.28871, 0.667278, 17.8332, 2.92779
13, 0.00000, 14.8705, 2.32974, 6.74678, 1.36739, 21.6983, 3.70456
14, 0.00000, 6.9888, 0.743742, 2.22197, 0.45099, 9.22136, 1.1957
15, 0.00000, 7.73516, 0.895628, 1.63048, 0.330628, 9.37371, 1.22723
16, 0.00000, 7.02614, 0.751327, 3.50851, 0.712211, 10.55, 1.46481
17, 0.00000, 9.83338, 1.31683, 8.5148, 1.72554, 18.4103, 3.04808
18, 0.00000, 22.1565, 4.45807, 7.90712, 1.60306, 30.1916, 6.07295
19, 0.00000, 21.0568, 4.24055, 4.12661, 0.837344, 25.2416, 5.08326
20, 0.00000, 9.93669, 2.00875, 5.32201, 1.07965, 15.2939, 3.09167
21, 0.00000, 9.35864, 1.89284, 11.7095, 1.70227, 21.1494, 3.60255
22, 0.00000, 14.3636, 2.89777, 15.7572, 2.51987, 30.2916, 5.43319
23, 0.00000, 12.9598, 2.61801, 18.0501, 2.98357, 31.1775, 5.61707
24, 0.00000, 17.6533, 3.55816, 9.56918, 1.26996, 27.3427, 4.83926
