hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
1, 0.00000, 126.502, -30.333, 126.073, -150.529, 126.066, 89.6156, 23.9511, -41.7975, 67.5432, -157.568, 91.666, 81.4199
2, 0.00000, 126.731, -30.1871, 126.075, -150.465, 126.094, 89.6261, 12.2345, -41.658, 76.699, -158.031, 89.0397, 81.5227
3, 0.00000, 126.763, -30.1755, 126.067, -150.467, 126.139, 89.6422, 8.38885, -41.6486, 76.519, -158.024, 84.9443, 81.6985
4, 0.00000, 126.739, -30.186, 126.478, -150.322, 126.546, 89.7886, 9.66333, -41.6594, 38.1067, -153.955, 47.7304, 84.5699
5, 0.00000, 126.737, -30.1869, 126.426, -150.34, 126.476, 89.7635, 10.5933, -41.6596, 43.5052, -154.949, 54.0831, 83.8095
6, 0.00000, 126.675, -30.2091, 126.46, -150.328, 126.5, 89.7719, 13.9155, -41.6795, 38.0875, -153.959, 51.9638, 84.0429
7, 0.00000, 126.728, -30.2023, 126.482, -150.291, 126.521, 89.821, 11.546, -41.6747, 34.0687, -161.756, 45.6597, 78.3594
8, 0.00000, 125.877, -30.5992, 125.44, -150.714, 125.459, 89.3972, 55.6499, -36.6623, 91.0963, -162.167, 147.214, 80.0048
9, 0.00000, 126.159, -30.4779, 125.895, -150.531, 125.887, 89.551, 44.0897, -35.1453, 63.8076, -161.99, 108.072, 80.8784
10, 0.00000, 126.204, -30.4551, 126.372, -150.353, 126.219, 89.6705, 48.7279, -35.7699, 28.8896, -161.817, 77.6797, 82.0683
11, 0.00000, 125.691, -30.6347, 125.844, -150.538, 126.416, 89.7413, 39.1966, -34.4244, 20.7925, -162.017, 59.6377, 83.29
12, 0.00000, 125.258, -30.7907, 126.206, -150.409, 125.495, 89.4094, 117.23, -39.6336, 26.5893, -161.878, 144.005, 80.086
13, 0.00000, 125.481, -30.6954, 126.15, -150.413, 125.147, 89.2841, 119.954, -39.5995, 54.5694, -161.87, 175.892, 79.5954
14, 0.00000, 125.646, -30.6948, 126.015, -150.52, 126.263, 89.6861, 55.937, -36.7693, 17.9922, -161.994, 73.6443, 82.298
15, 0.00000, 125.893, -30.5839, 126.379, -150.368, 126.25, 89.6814, 61.8528, -37.1886, 13.1641, -161.831, 74.8809, 82.2225
16, 0.00000, 125.865, -30.6169, 126.121, -150.483, 126.145, 89.6438, 56.1409, -36.7205, 28.3859, -161.958, 84.4356, 81.7391
17, 0.00000, 125.362, -30.8358, 125.423, -150.772, 125.442, 89.3908, 79.1398, -38.4631, 69.2684, -162.228, 148.761, 79.99
18, 0.00000, 123.899, -31.3381, 125.207, -150.87, 124.314, 89.0266, 182.411, -42.7145, 64.4373, -162.331, 247.731, 77.6535
19, 0.00000, 124.33, -31.1438, 125.867, -150.593, 124.767, 89.1893, 172.763, -42.5301, 33.4538, -162.063, 206.371, 77.8032
20, 0.00000, 124.719, -31.0055, 125.138, -150.855, 125.665, 89.5125, 81.2843, -42.4341, 43.3954, -162.322, 124.166, 78.0841
21, 0.00000, 125.07, -30.8178, 124.912, -150.915, 125.195, 89.3021, 76.3426, -42.252, 94.7274, -159.187, 171.366, 79.6352
22, 0.00000, 124.796, -30.9082, 124.725, -150.975, 124.361, 89.0027, 117.416, -42.3141, 127.94, -160.06, 247.466, 78.8341
23, 0.00000, 124.825, -30.9147, 124.416, -151.102, 124.278, 88.9737, 105.921, -42.3353, 147.047, -160.488, 254.908, 78.7606
24, 0.00000, 124.938, -30.8255, 125.725, -150.585, 124.632, 89.0997, 144.138, -42.2212, 76.7792, -158.144, 222.796, 79.0631
