hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)"
1, 0.00000, 5.37025E-12, -2.04536E-8, 0.234003, 0.0475158, 0.234002, 0.0475155
2, 0.00000, 9.87553E-12, -2.05377E-8, 0.234002, 0.0475156, 0.23401, 0.0475173
3, 0.00000, 1.63356E-11, -2.05568E-8, 0.234004, 0.047516, 0.23401, 0.0475172
4, 0.00000, 3.2007E-12, -2.05643E-8, 0.234031, 0.0475217, 0.234038, 0.047523
5, 0.00000, 4.6528E-12, -2.05565E-8, 0.234001, 0.0475153, 0.233998, 0.0475148
6, 0.00000, 8.21046E-14, -2.05344E-8, 0.234007, 0.0475167, 0.234006, 0.0475164
7, 0.00000, -1.26816E-13, -2.05566E-8, 2.85354, 0.579372, 2.85355, 0.579388
8, 0.00000, -7.4562E-12, -2.01837E-8, 2.91563, 0.591959, 2.91561, 0.591947
9, 0.00000, -9.10214E-12, -2.03029E-8, 1.76889, 0.359162, 1.76889, 0.359164
10, 0.00000, -1.78078E-11, -2.03241E-8, 0.234036, 0.0475227, 0.234042, 0.047524
11, 0.00000, -8.97009E-12, -2.01985E-8, 0.292108, 0.0593107, 0.29217, 0.059329
12, 0.00000, -5.24133E-11, -1.98957E-8, 0.914151, 0.185619, 0.914136, 0.185611
13, 0.00000, -5.39127E-11, -1.99376E-8, 1.02977, 0.209095, 1.02977, 0.209092
14, 0.00000, -2.191E-11, -2.01533E-8, 0.234004, 0.0475161, 0.234007, 0.0475168
15, 0.00000, -2.70382E-11, -2.02128E-8, 0.234022, 0.0475198, 0.234004, 0.0475161
16, 0.00000, -2.11176E-11, -2.02119E-8, 0.233986, 0.0475123, 0.233991, 0.0475134
17, 0.00000, -2.09217E-11, -1.99942E-8, 1.05862, 0.21495, 1.05861, 0.214947
18, 0.00000, -7.05021E-11, -1.93573E-8, 1.02509, 0.208144, 1.02505, 0.208125
19, 0.00000, -7.85619E-11, -1.95132E-8, 0.561087, 0.113931, 0.561094, 0.113934
20, 0.00000, -1.89282E-11, -1.98215E-8, 0.731379, 0.148507, 0.731393, 0.148513
21, 0.00000, -5.0179E-12, -1.99068E-8, 0.859691, 0.17456, 0.859687, 0.174558
22, 0.00000, -2.21255E-11, -1.97192E-8, 2.13233, 0.432945, 2.13228, 0.432918
23, 0.00000, -1.09816E-11, -1.97457E-8, 2.19999, 0.446678, 2.2, 0.446684
24, 0.00000, -5.33266E-11, -1.97223E-8, 0.234007, 0.0475167, 0.234007, 0.0475167
