hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
1, 0.00000, 126.209, -30.3185, 125.713, -150.525, 125.41, 89.6337, 3.14375, -41.7963, 4.83533E-7, -60.5476, 3.16375, 78.1559
2, 0.00000, 126.587, -30.18, 125.674, -150.459, 125.548, 89.6387, 2.77168, -41.6578, 4.83753E-7, -60.4975, 2.7946, 78.1609
3, 0.00000, 126.657, -30.1702, 125.663, -150.462, 125.628, 89.6531, 2.77004, -41.6481, 4.83761E-7, -60.4971, 2.79281, 78.1753
4, 0.00000, 126.624, -30.1804, 126.253, -150.325, 126.206, 89.791, 1.48686, -41.6585, 4.85625E-7, -60.3304, 1.49216, 78.3165
5, 0.00000, 126.611, -30.1807, 126.174, -150.342, 126.098, 89.7679, 2.94042, -41.6585, 4.85365E-7, -60.3535, 2.9523, 78.29
6, 0.00000, 126.502, -30.2006, 126.239, -150.331, 126.104, 89.777, 5.19684, -41.6779, 4.85496E-7, -60.3376, 5.21332, 78.2996
7, 0.00000, 126.595, -30.1958, 126.285, -150.281, 126.19, 89.8372, 1.48724, -41.6737, 4.85635E-7, -60.2906, 1.492, 78.3597
8, 0.00000, 125.15, -30.5981, 124.943, -150.69, 124.229, 89.4231, 29.145, -31.6991, 4.80214E-7, -60.7366, 29.3612, 88.3223
9, 0.00000, 125.567, -30.4832, 125.532, -150.513, 124.929, 89.5636, 27.7738, -31.103, 4.8242E-7, -60.5484, 27.9162, 88.9438
10, 0.00000, 125.552, -30.4575, 126.207, -150.345, 125.4, 89.6763, 29.0518, -31.5585, 4.84597E-7, -60.3642, 29.0902, 88.5729
11, 0.00000, 125.158, -30.6431, 125.727, -150.532, 125.768, 89.7388, 29.1405, -31.7432, 4.82751E-7, -60.4744, 29.0037, 88.6361
12, 0.00000, 123.754, -30.7513, 126.056, -150.401, 123.841, 89.4563, 32.4908, -32.8239, 4.82883E-7, -60.4376, 32.4676, 87.3838
13, 0.00000, 123.945, -30.6544, 125.829, -150.397, 123.276, 89.3417, 34.5074, -33.2944, 4.82305E-7, -60.4891, 34.6946, 86.702
14, 0.00000, 124.857, -30.6906, 125.917, -150.516, 125.38, 89.6951, 37.186, -34.0311, 4.83109E-7, -60.4757, 37.0309, 86.3544
15, 0.00000, 125.132, -30.581, 126.305, -150.364, 125.416, 89.6879, 30.0224, -31.9865, 4.846E-7, -60.3584, 29.9526, 88.2828
16, 0.00000, 125.085, -30.6131, 125.983, -150.476, 125.227, 89.6544, 40.3994, -34.6174, 4.8349E-7, -60.4665, 40.3523, 85.6509
17, 0.00000, 124.264, -30.8163, 125.036, -150.752, 123.952, 89.4296, 37.8187, -34.2551, 4.79812E-7, -60.764, 37.9137, 85.9909
18, 0.00000, 121.706, -31.2277, 124.861, -150.853, 121.771, 89.1543, 7.27977, -42.7043, 4.77522E-7, -60.8793, 7.27589, 77.6776
19, 0.00000, 122.305, -31.0423, 125.698, -150.585, 122.576, 89.2989, 13.7438, -42.5183, 4.80693E-7, -60.6145, 13.7136, 77.8229
20, 0.00000, 123.679, -30.9536, 124.916, -150.844, 124.41, 89.5747, 30.002, -42.4266, 4.79035E-7, -60.7643, 29.8257, 78.1015
21, 0.00000, 124.13, -30.7711, 124.382, -150.903, 123.721, 89.3608, 11.665, -42.2474, 4.77799E-7, -60.8973, 11.7034, 77.8847
22, 0.00000, 123.31, -30.834, 124.025, -150.954, 122.154, 89.0985, 43.623, -42.3044, 4.76069E-7, -61.0198, 44.0358, 77.6287
23, 0.00000, 123.581, -30.8526, 123.654, -151.079, 122.254, 89.0604, 18.0538, -42.3277, 4.75075E-7, -61.1405, 18.2499, 77.5854
24, 0.00000, 123.196, -30.7386, 125.327, -150.579, 122.476, 89.1928, 25.4801, -42.2123, 4.80286E-7, -60.6623, 25.6304, 77.719
