hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 126.293, -30.2271, 126.293, -150.227, 126.293, 89.7729, 2.11739, -30.2344, 2.11739, -150.234, 2.11739, 89.7656
2, 0.00000, 126.382, -30.1909, 126.382, -150.191, 126.382, 89.8091, 1.26859, -30.1944, 1.26859, -150.194, 1.26859, 89.8056
3, 0.00000, 126.442, -30.1759, 126.442, -150.176, 126.442, 89.8241, 0.80664, -30.1771, 0.80664, -150.177, 0.80664, 89.8229
4, 0.00000, 126.715, -30.1004, 126.715, -150.1, 126.715, 89.8996, 0.935012, -30.1012, 0.935012, -150.101, 0.935012, 89.8988
5, 0.00000, 126.651, -30.1172, 126.651, -150.117, 126.651, 89.8828, 1.10915, -30.1203, 1.10915, -150.12, 1.10915, 89.8797
6, 0.00000, 126.646, -30.1187, 126.646, -150.119, 126.646, 89.8813, 1.38735, -30.1234, 1.38735, -150.123, 1.38735, 89.8766
7, 0.00000, 126.44, -30.1714, 126.44, -150.171, 126.44, 89.8286, 1.31359, -30.1756, 1.31359, -150.176, 1.31359, 89.8244
8, 0.00000, 125.229, -30.5086, 125.229, -150.509, 125.229, 89.4914, 5.14016, -30.5328, 5.14016, -150.533, 5.14016, 89.4672
9, 0.00000, 125.924, -30.3216, 125.924, -150.322, 125.924, 89.6784, 2.43506, -30.3317, 2.43506, -150.332, 2.43506, 89.6683
10, 0.00000, 125.982, -30.2981, 125.982, -150.298, 125.982, 89.7019, 4.49026, -30.3207, 4.49026, -150.321, 4.49026, 89.6793
11, 0.00000, 126.265, -30.2532, 126.265, -150.253, 126.265, 89.7468, 1.4791, -30.2578, 1.4791, -150.258, 1.4791, 89.7422
12, 0.00000, 125.564, -30.4086, 125.564, -150.409, 125.564, 89.5914, 6.8937, -30.4335, 6.8937, -150.433, 6.8937, 89.5665
13, 0.00000, 125.347, -30.4502, 125.347, -150.45, 125.347, 89.5498, 7.12197, -30.4756, 7.12197, -150.476, 7.12197, 89.5244
14, 0.00000, 126.277, -30.2305, 126.277, -150.231, 126.277, 89.7695, 2.25059, -30.2399, 2.25059, -150.24, 2.25059, 89.7601
15, 0.00000, 126.382, -30.1887, 126.382, -150.189, 126.382, 89.8113, 2.86188, -30.1961, 2.86188, -150.196, 2.86188, 89.8039
16, 0.00000, 125.886, -30.3239, 125.886, -150.324, 125.886, 89.6761, 5.24048, -30.3517, 5.24048, -150.352, 5.24048, 89.6483
17, 0.00000, 125.349, -30.4766, 125.349, -150.477, 125.349, 89.5234, 5.42668, -30.5003, 5.42668, -150.5, 5.42668, 89.4997
18, 0.00000, 123.288, -31.0032, 123.288, -151.003, 123.288, 88.9968, 19.1101, -31.0775, 19.1101, -151.078, 19.1101, 88.9225
19, 0.00000, 123.944, -30.8161, 123.944, -150.816, 123.944, 89.1839, 17.4538, -30.8814, 17.4538, -150.881, 17.4538, 89.1186
20, 0.00000, 125.224, -30.5305, 125.224, -150.53, 125.224, 89.4695, 6.82017, -30.558, 6.82017, -150.558, 6.82017, 89.442
21, 0.00000, 124.274, -30.7606, 124.274, -150.761, 124.274, 89.2394, 11.5992, -30.8159, 11.5992, -150.816, 11.5992, 89.1841
22, 0.00000, 124.042, -30.8127, 124.042, -150.813, 124.042, 89.1873, 11.5677, -30.8625, 11.5677, -150.862, 11.5677, 89.1375
23, 0.00000, 123.681, -30.9136, 123.681, -150.914, 123.681, 89.0864, 12.7468, -30.9668, 12.7468, -150.967, 12.7468, 89.0332
24, 0.00000, 124.666, -30.6281, 124.666, -150.628, 124.666, 89.3719, 11.707, -30.6709, 11.707, -150.671, 11.707, 89.3291
