hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 126.671, -30.161, 126.671, -150.161, 126.671, 89.839, 5.39123, -30.2174, 5.39123, -150.217, 5.39123, 89.7826
2, 0.00000, 126.713, -30.1329, 126.713, -150.133, 126.713, 89.8671, 5.11263, -30.1804, 5.11263, -150.18, 5.11263, 89.8196
3, 0.00000, 126.735, -30.1245, 126.735, -150.125, 126.735, 89.8755, 4.72517, -30.1658, 4.72517, -150.166, 4.72517, 89.8342
4, 0.00000, 126.873, -30.0728, 126.873, -150.073, 126.873, 89.9272, 2.15656, -30.0935, 2.15656, -150.094, 2.15656, 89.9065
5, 0.00000, 126.845, -30.0833, 126.845, -150.083, 126.845, 89.9167, 2.57361, -30.1121, 2.57361, -150.112, 2.57361, 89.8879
6, 0.00000, 126.842, -30.0844, 126.842, -150.084, 126.842, 89.9156, 2.62803, -30.114, 2.62803, -150.114, 2.62803, 89.886
7, 0.00000, 126.774, -30.113, 126.774, -150.113, 126.774, 89.887, 3.88753, -30.1676, 3.88753, -150.168, 3.88753, 89.8324
8, 0.00000, 126.19, -30.3396, 126.19, -150.34, 126.19, 89.6604, 12.5449, -30.4934, 12.5449, -150.493, 12.5449, 89.5066
9, 0.00000, 126.499, -30.2207, 126.499, -150.221, 126.499, 89.7793, 7.50379, -30.3113, 7.50379, -150.311, 7.50379, 89.6887
10, 0.00000, 126.562, -30.1964, 126.562, -150.196, 126.562, 89.8036, 7.11375, -30.3006, 7.11375, -150.301, 7.11375, 89.6994
11, 0.00000, 126.538, -30.2052, 126.538, -150.205, 126.538, 89.7948, 4.11341, -30.2429, 4.11341, -150.243, 4.11341, 89.7571
12, 0.00000, 126.368, -30.2675, 126.368, -150.267, 126.368, 89.7325, 9.45326, -30.4144, 9.45326, -150.414, 9.45326, 89.5856
13, 0.00000, 126.34, -30.2759, 126.34, -150.276, 126.34, 89.7241, 12.019, -30.4474, 12.019, -150.447, 12.019, 89.5526
14, 0.00000, 126.628, -30.169, 126.628, -150.169, 126.628, 89.831, 5.71142, -30.2168, 5.71142, -150.217, 5.71142, 89.7832
15, 0.00000, 126.738, -30.1264, 126.738, -150.126, 126.738, 89.8736, 4.64322, -30.1823, 4.64322, -150.182, 4.64322, 89.8177
16, 0.00000, 126.514, -30.2137, 126.514, -150.214, 126.514, 89.7863, 7.92084, -30.327, 7.92084, -150.327, 7.92084, 89.673
17, 0.00000, 126.233, -30.3212, 126.233, -150.321, 126.233, 89.6788, 11.226, -30.4676, 11.226, -150.468, 11.226, 89.5324
18, 0.00000, 125.43, -30.6256, 125.43, -150.626, 125.43, 89.3744, 25.2074, -31.0264, 25.2074, -151.026, 25.2074, 88.9736
19, 0.00000, 125.765, -30.4959, 125.765, -150.496, 125.765, 89.5041, 21.2174, -30.844, 21.2174, -150.844, 21.2174, 89.156
20, 0.00000, 126.086, -30.3789, 126.086, -150.379, 126.086, 89.6211, 10.8886, -30.5266, 10.8886, -150.527, 10.8886, 89.4734
21, 0.00000, 125.724, -30.5051, 125.724, -150.505, 125.724, 89.4949, 18.0457, -30.7638, 18.0457, -150.764, 18.0457, 89.2362
22, 0.00000, 125.647, -30.5297, 125.647, -150.53, 125.647, 89.4703, 20.1202, -30.8047, 20.1202, -150.805, 20.1202, 89.1953
23, 0.00000, 125.461, -30.5992, 125.461, -150.599, 125.461, 89.4008, 23.202, -30.8941, 23.202, -150.894, 23.202, 89.1059
24, 0.00000, 126.014, -30.3912, 126.014, -150.391, 126.014, 89.6088, 17.149, -30.6228, 17.149, -150.623, 17.149, 89.3772
