hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 126.334, -30.2199, 126.334, -150.22, 126.334, 89.7801, 2.25464, -30.2336, 2.25464, -150.234, 2.25464, 89.7664
2, 0.00000, 126.408, -30.1864, 126.408, -150.186, 126.408, 89.8136, 1.40574, -30.1935, 1.40574, -150.194, 1.40574, 89.8065
3, 0.00000, 126.459, -30.1729, 126.459, -150.173, 126.459, 89.8271, 0.943725, -30.1762, 0.943725, -150.176, 0.943725, 89.8238
4, 0.00000, 126.735, -30.097, 126.735, -150.097, 126.735, 89.903, 1.07181, -30.1005, 1.07181, -150.1, 1.07181, 89.8995
5, 0.00000, 126.674, -30.1132, 126.674, -150.113, 126.674, 89.8868, 1.24601, -30.1194, 1.24601, -150.119, 1.24601, 89.8806
6, 0.00000, 126.673, -30.1139, 126.673, -150.114, 126.673, 89.8861, 1.52421, -30.1225, 1.52421, -150.123, 1.52421, 89.8775
7, 0.00000, 126.494, -30.1619, 126.494, -150.162, 126.494, 89.8381, 2.98492, -30.1728, 2.98492, -150.173, 2.98492, 89.8272
8, 0.00000, 125.353, -30.4866, 125.353, -150.487, 125.353, 89.5134, 6.86438, -30.5266, 6.86438, -150.527, 6.86438, 89.4734
9, 0.00000, 125.986, -30.3105, 125.986, -150.311, 125.986, 89.6895, 3.47554, -30.329, 3.47554, -150.329, 3.47554, 89.671
10, 0.00000, 126.066, -30.2834, 126.066, -150.283, 126.066, 89.7166, 4.62785, -30.3199, 4.62785, -150.32, 4.62785, 89.6802
11, 0.00000, 126.295, -30.2479, 126.295, -150.248, 126.295, 89.7521, 1.65049, -30.257, 1.65049, -150.257, 1.65049, 89.743
12, 0.00000, 125.698, -30.3849, 125.698, -150.385, 125.698, 89.6151, 7.43295, -30.4316, 7.43295, -150.432, 7.43295, 89.5684
13, 0.00000, 125.487, -30.4255, 125.487, -150.426, 125.487, 89.5745, 7.73045, -30.4734, 7.73045, -150.473, 7.73045, 89.5266
14, 0.00000, 126.32, -30.2229, 126.32, -150.223, 126.32, 89.7771, 2.38788, -30.2391, 2.38788, -150.239, 2.38788, 89.7609
15, 0.00000, 126.436, -30.1792, 126.436, -150.179, 126.436, 89.8208, 2.99903, -30.1955, 2.99903, -150.196, 2.99903, 89.8045
16, 0.00000, 125.983, -30.3067, 125.983, -150.307, 125.983, 89.6933, 5.37816, -30.3508, 5.37816, -150.351, 5.37816, 89.6492
17, 0.00000, 125.458, -30.4572, 125.458, -150.457, 125.458, 89.5428, 6.05215, -30.4977, 6.05215, -150.498, 6.05215, 89.5023
18, 0.00000, 123.645, -30.9394, 123.645, -150.939, 123.645, 89.0606, 19.7259, -31.0751, 19.7259, -151.075, 19.7259, 88.9249
19, 0.00000, 124.266, -30.7588, 124.266, -150.759, 124.266, 89.2412, 17.7891, -30.8801, 17.7891, -150.88, 17.7891, 89.1199
20, 0.00000, 125.356, -30.5073, 125.356, -150.507, 125.356, 89.4927, 7.25278, -30.5563, 7.25278, -150.556, 7.25278, 89.4437
21, 0.00000, 124.493, -30.7216, 124.493, -150.722, 124.493, 89.2784, 12.1116, -30.8135, 12.1116, -150.814, 12.1116, 89.1865
22, 0.00000, 124.274, -30.7713, 124.274, -150.771, 124.274, 89.2287, 12.8408, -30.8574, 12.8408, -150.857, 12.8408, 89.1426
23, 0.00000, 123.936, -30.8682, 123.936, -150.868, 123.936, 89.1318, 14.0642, -30.9617, 14.0642, -150.962, 14.0642, 89.0383
24, 0.00000, 124.881, -30.5901, 124.881, -150.59, 124.881, 89.4099, 11.8461, -30.6704, 11.8461, -150.67, 11.8461, 89.3297
