hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 127.017, -30.1007, 127.017, -150.101, 127.017, 89.8993, 6.5926, -30.2055, 6.5926, -150.206, 6.5926, 89.7945
2, 0.00000, 127.017, -30.08, 127.017, -150.08, 127.017, 89.92, 5.74706, -30.1739, 5.74706, -150.174, 5.74706, 89.8261
3, 0.00000, 127.017, -30.0755, 127.017, -150.075, 127.017, 89.9245, 5.33293, -30.1599, 5.33293, -150.16, 5.33293, 89.8401
4, 0.00000, 127.017, -30.0477, 127.017, -150.048, 127.017, 89.9523, 2.78788, -30.0872, 2.78788, -150.087, 2.78788, 89.9128
5, 0.00000, 127.017, -30.0533, 127.017, -150.053, 127.017, 89.9467, 3.30234, -30.1043, 3.30234, -150.104, 3.30234, 89.8957
6, 0.00000, 127.017, -30.0539, 127.017, -150.054, 127.017, 89.9461, 3.35679, -30.1061, 3.35679, -150.106, 3.35679, 89.8939
7, 0.00000, 127.017, -30.0707, 127.017, -150.071, 127.017, 89.9293, 4.63358, -30.1574, 4.63358, -150.157, 4.63358, 89.8426
8, 0.00000, 127.014, -30.1966, 127.014, -150.197, 127.014, 89.8034, 15.889, -30.4562, 15.889, -150.456, 15.889, 89.5438
9, 0.00000, 127.016, -30.1306, 127.016, -150.131, 127.016, 89.8694, 10.1179, -30.2838, 10.1179, -150.284, 10.1179, 89.7162
10, 0.00000, 127.016, -30.1175, 127.016, -150.117, 127.016, 89.8825, 8.915, -30.2754, 8.915, -150.275, 8.915, 89.7246
11, 0.00000, 127.016, -30.1218, 127.016, -150.122, 127.016, 89.8783, 9.30539, -30.2184, 9.30539, -150.218, 9.30539, 89.7816
12, 0.00000, 127.015, -30.1552, 127.015, -150.155, 127.015, 89.8448, 12.3621, -30.3769, 12.3621, -150.377, 12.3621, 89.6231
13, 0.00000, 127.015, -30.159, 127.015, -150.159, 127.015, 89.841, 12.7135, -30.4366, 12.7135, -150.437, 12.7135, 89.5634
14, 0.00000, 127.016, -30.1013, 127.016, -150.101, 127.016, 89.8987, 7.43199, -30.204, 7.43199, -150.204, 7.43199, 89.796
15, 0.00000, 127.017, -30.0778, 127.017, -150.078, 127.017, 89.9222, 5.28393, -30.1743, 5.28393, -150.174, 5.28393, 89.8257
16, 0.00000, 127.016, -30.1265, 127.016, -150.127, 127.016, 89.8735, 9.4782, -30.3069, 9.4782, -150.307, 9.4782, 89.6931
17, 0.00000, 127.015, -30.1855, 127.015, -150.185, 127.015, 89.8145, 14.8745, -30.4288, 14.8745, -150.429, 14.8745, 89.5712
18, 0.00000, 127.007, -30.3551, 127.007, -150.355, 127.007, 89.6449, 29.8763, -30.9586, 29.8763, -150.959, 29.8763, 89.0414
19, 0.00000, 127.01, -30.2821, 127.01, -150.282, 127.01, 89.7179, 23.4548, -30.8079, 23.4548, -150.808, 23.4548, 89.1921
20, 0.00000, 127.014, -30.2177, 127.014, -150.218, 127.014, 89.7823, 17.8211, -30.4642, 17.8211, -150.464, 17.8211, 89.5358
21, 0.00000, 127.011, -30.2827, 127.011, -150.283, 127.011, 89.7173, 24.2954, -30.694, 24.2954, -150.694, 24.2954, 89.306
22, 0.00000, 127.01, -30.2943, 127.01, -150.294, 127.01, 89.7057, 25.6201, -30.7432, 25.6201, -150.743, 25.6201, 89.2568
23, 0.00000, 127.009, -30.3323, 127.009, -150.332, 127.009, 89.6677, 29.1038, -30.8313, 29.1038, -150.831, 29.1038, 89.1686
24, 0.00000, 127.013, -30.2187, 127.013, -150.219, 127.013, 89.7813, 18.7011, -30.6024, 18.7011, -150.602, 18.7011, 89.3976
