hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 126.25, -30.2346, 126.25, -150.235, 126.25, 89.7654, 0.752448, -30.2353, 0.752448, -150.235, 0.752448, 89.7647
2, 0.00000, 126.358, -30.1951, 126.358, -150.195, 126.358, 89.8049, 0.725433, -30.1957, 0.725433, -150.196, 0.725433, 89.8043
3, 0.00000, 126.427, -30.1786, 126.427, -150.179, 126.427, 89.8214, 0.542981, -30.1783, 0.542981, -150.178, 0.542981, 89.8217
4, 0.00000, 126.697, -30.1035, 126.697, -150.104, 126.697, 89.8965, 0.48642, -30.1026, 0.48642, -150.103, 0.48642, 89.8974
5, 0.00000, 126.631, -30.1208, 126.631, -150.121, 126.631, 89.8792, 0.698398, -30.1213, 0.698398, -150.121, 0.698398, 89.8787
6, 0.00000, 126.619, -30.1235, 126.619, -150.123, 126.619, 89.8765, 0.899681, -30.1246, 0.899681, -150.125, 0.899681, 89.8754
7, 0.00000, 126.415, -30.1758, 126.415, -150.176, 126.415, 89.8242, 0.727344, -30.1765, 0.727344, -150.176, 0.727344, 89.8235
8, 0.00000, 125.125, -30.527, 125.125, -150.527, 125.125, 89.473, 3.34414, -30.537, 3.34414, -150.537, 3.34414, 89.463
9, 0.00000, 125.875, -30.3302, 125.875, -150.33, 125.875, 89.6698, 1.38473, -30.3344, 1.38473, -150.334, 1.38473, 89.6656
10, 0.00000, 125.89, -30.3143, 125.89, -150.314, 125.89, 89.6857, 3.1964, -30.3239, 3.1964, -150.324, 3.1964, 89.6761
11, 0.00000, 126.236, -30.2582, 126.236, -150.258, 126.236, 89.7418, 0.890852, -30.2596, 0.890852, -150.26, 0.890852, 89.7404
12, 0.00000, 125.423, -30.4335, 125.423, -150.434, 125.423, 89.5665, 1.68731, -30.4354, 1.68731, -150.435, 1.68731, 89.5646
13, 0.00000, 125.201, -30.476, 125.201, -150.476, 125.201, 89.524, 1.68313, -30.4778, 1.68313, -150.478, 1.68313, 89.5222
14, 0.00000, 126.231, -30.2386, 126.231, -150.239, 126.231, 89.7614, 1.84699, -30.2421, 1.84699, -150.242, 1.84699, 89.7579
15, 0.00000, 126.335, -30.1969, 126.335, -150.197, 126.335, 89.8031, 1.16808, -30.198, 1.16808, -150.198, 1.16808, 89.802
16, 0.00000, 125.779, -30.3427, 125.779, -150.343, 125.779, 89.6573, 4.71279, -30.353, 4.71279, -150.353, 4.71279, 89.647
17, 0.00000, 125.239, -30.4961, 125.239, -150.496, 125.239, 89.5039, 4.57429, -30.5017, 4.57429, -150.502, 4.57429, 89.4983
18, 0.00000, 122.909, -31.0713, 122.909, -151.071, 122.909, 88.9287, 9.60291, -31.0903, 9.60291, -151.09, 9.60291, 88.9097
19, 0.00000, 123.605, -30.8768, 123.605, -150.877, 123.605, 89.1232, 7.99367, -30.8946, 7.99367, -150.895, 7.99367, 89.1054
20, 0.00000, 125.089, -30.5545, 125.089, -150.555, 125.089, 89.4455, 4.0956, -30.5621, 4.0956, -150.562, 4.0956, 89.4379
21, 0.00000, 124.037, -30.8029, 124.037, -150.803, 124.037, 89.1971, 7.52049, -30.8242, 7.52049, -150.824, 7.52049, 89.1758
22, 0.00000, 123.807, -30.8548, 123.807, -150.855, 123.807, 89.1452, 6.37475, -30.8708, 6.37475, -150.871, 6.37475, 89.1292
23, 0.00000, 123.428, -30.9589, 123.428, -150.959, 123.428, 89.0411, 6.50401, -30.9783, 6.50401, -150.978, 6.50401, 89.0217
24, 0.00000, 124.431, -30.67, 124.431, -150.67, 124.431, 89.33, 3.31851, -30.6781, 3.31851, -150.678, 3.31851, 89.3219
