hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 0.701053, 0.000727416, 0.701053, 0.000727416, 0.701053, 0.000727416
2, 0.00000, 0.681682, 0.000588197, 0.681682, 0.000588197, 0.681682, 0.000588197
3, 0.00000, 0.629305, 0.000475304, 0.629305, 0.000475304, 0.629305, 0.000475304
4, 0.00000, 0.295, 0.000108193, 0.295, 0.000108193, 0.295, 0.000108193
5, 0.00000, 0.360197, 0.00017829, 0.360197, 0.00017829, 0.360197, 0.00017829
6, 0.00000, 0.367094, 0.000186942, 0.367094, 0.000186942, 0.367094, 0.000186942
7, 0.00000, 0.532419, 0.00050022, 0.532419, 0.00050022, 0.532419, 0.00050022
8, 0.00000, 1.77673, 0.00460486, 1.77673, 0.00460486, 1.77673, 0.00460486
9, 0.00000, 1.09288, 0.00163708, 1.09288, 0.00163708, 1.09288, 0.00163708
10, 0.00000, 0.985456, 0.00174539, 0.985456, 0.00174539, 0.985456, 0.00174539
11, 0.00000, 1.0508, 0.000468241, 1.0508, 0.000468241, 1.0508, 0.000468241
12, 0.00000, 1.41739, 0.00328762, 1.41739, 0.00328762, 1.41739, 0.00328762
13, 0.00000, 1.53715, 0.00481055, 1.53715, 0.00481055, 1.53715, 0.00481055
14, 0.00000, 0.757102, 0.000667565, 0.757102, 0.000667565, 0.757102, 0.000667565
15, 0.00000, 0.622294, 0.000617298, 0.622294, 0.000617298, 0.622294, 0.000617298
16, 0.00000, 1.08621, 0.0021127, 1.08621, 0.0021127, 1.08621, 0.0021127
17, 0.00000, 1.52879, 0.00388209, 1.52879, 0.00388209, 1.52879, 0.00388209
18, 0.00000, 3.4804, 0.0234937, 3.4804, 0.0234937, 3.4804, 0.0234937
19, 0.00000, 2.8299, 0.0171141, 2.8299, 0.0171141, 2.8299, 0.0171141
20, 0.00000, 2.07853, 0.00402658, 2.07853, 0.00402658, 2.07853, 0.00402658
21, 0.00000, 2.81918, 0.0111409, 2.81918, 0.0111409, 2.81918, 0.0111409
22, 0.00000, 2.93166, 0.0131033, 2.93166, 0.0131033, 2.93166, 0.0131033
23, 0.00000, 3.25683, 0.0161876, 3.25683, 0.0161876, 3.25683, 0.0161876
24, 0.00000, 2.26873, 0.00931831, 2.26873, 0.00931831, 2.26873, 0.00931831
