hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 126.241, -30.2363, 126.241, -150.236, 126.241, 89.7637, 0.379095, -30.2361, 0.379095, -150.236, 0.379095, 89.7639
2, 0.00000, 126.349, -30.1966, 126.349, -150.197, 126.349, 89.8034, 0.378776, -30.1965, 0.378776, -150.196, 0.378776, 89.8035
3, 0.00000, 126.42, -30.1797, 126.42, -150.18, 126.42, 89.8203, 0.196518, -30.1787, 0.196518, -150.179, 0.196518, 89.8213
4, 0.00000, 126.692, -30.1045, 126.692, -150.104, 126.692, 89.8955, 0.233833, -30.1034, 0.233833, -150.103, 0.233833, 89.8967
5, 0.00000, 126.622, -30.1223, 126.622, -150.122, 126.622, 89.8777, 0.340201, -30.122, 0.340201, -150.122, 0.340201, 89.878
6, 0.00000, 126.608, -30.1254, 126.608, -150.125, 126.608, 89.8746, 0.377998, -30.1253, 0.377998, -150.125, 0.377998, 89.8747
7, 0.00000, 126.407, -30.1773, 126.407, -150.177, 126.407, 89.8227, 0.474208, -30.1773, 0.474208, -150.177, 0.474208, 89.8227
8, 0.00000, 125.08, -30.5349, 125.08, -150.535, 125.08, 89.4651, 2.994, -30.5377, 2.994, -150.538, 2.994, 89.4623
9, 0.00000, 125.857, -30.3333, 125.857, -150.333, 125.857, 89.6667, 1.13043, -30.3355, 1.13043, -150.336, 1.13043, 89.6645
10, 0.00000, 125.847, -30.3218, 125.847, -150.322, 125.847, 89.6782, 2.84839, -30.3246, 2.84839, -150.325, 2.84839, 89.6754
11, 0.00000, 126.225, -30.2601, 126.225, -150.26, 126.225, 89.7399, 0.543847, -30.2605, 0.543847, -150.26, 0.543847, 89.7395
12, 0.00000, 125.407, -30.4363, 125.407, -150.436, 125.407, 89.5637, 0.373987, -30.4362, 0.373987, -150.436, 0.373987, 89.5638
13, 0.00000, 125.184, -30.4791, 125.184, -150.479, 125.184, 89.5209, 0.382271, -30.4789, 0.382271, -150.479, 0.382271, 89.5211
14, 0.00000, 126.214, -30.2416, 126.214, -150.242, 126.214, 89.7584, 0.113603, -30.2343, 0.113603, -150.234, 0.113603, 89.7657
15, 0.00000, 126.324, -30.1988, 126.324, -150.199, 126.324, 89.8012, 0.288078, -30.1983, 0.288078, -150.198, 0.288078, 89.8017
16, 0.00000, 125.719, -30.3532, 125.719, -150.353, 125.719, 89.6468, 3.074, -30.3549, 3.074, -150.355, 3.074, 89.6451
17, 0.00000, 125.193, -30.5041, 125.193, -150.504, 125.193, 89.4959, 1.61472, -30.5045, 1.61472, -150.505, 1.61472, 89.4955
18, 0.00000, 122.803, -31.0905, 122.803, -151.091, 122.803, 88.9095, 5.97928, -31.0957, 5.97928, -151.096, 5.97928, 88.9043
19, 0.00000, 123.511, -30.8936, 123.511, -150.894, 123.511, 89.1064, 5.02733, -30.8987, 5.02733, -150.899, 5.02733, 89.1013
20, 0.00000, 125.041, -30.5631, 125.041, -150.563, 125.041, 89.4369, 0.983382, -30.5639, 0.983382, -150.564, 0.983382, 89.4361
21, 0.00000, 123.938, -30.8205, 123.938, -150.821, 123.938, 89.1795, 6.05041, -30.8263, 6.05041, -150.826, 6.05041, 89.1737
22, 0.00000, 123.72, -30.8703, 123.72, -150.87, 123.72, 89.1297, 3.07463, -30.8727, 3.07463, -150.873, 3.07463, 89.1273
23, 0.00000, 123.34, -30.9748, 123.34, -150.975, 123.34, 89.0252, 5.043, -30.9797, 5.043, -150.98, 5.043, 89.0203
24, 0.00000, 124.387, -30.6779, 124.387, -150.678, 124.387, 89.3221, 1.34053, -30.6792, 1.34053, -150.679, 1.34053, 89.3208
