hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 126.446, -30.2003, 126.446, -150.2, 126.446, 89.7997, 3.71917, -30.2267, 3.71917, -150.227, 3.71917, 89.7733
2, 0.00000, 126.499, -30.1705, 126.499, -150.17, 126.499, 89.8295, 3.10337, -30.1882, 3.10337, -150.188, 3.10337, 89.8118
3, 0.00000, 126.539, -30.1589, 126.539, -150.159, 126.539, 89.8411, 2.77142, -30.1726, 2.77142, -150.173, 2.77142, 89.8274
4, 0.00000, 126.787, -30.0878, 126.787, -150.088, 126.787, 89.9122, 1.67017, -30.0978, 1.67017, -150.098, 1.67017, 89.9022
5, 0.00000, 126.739, -30.1018, 126.739, -150.102, 126.739, 89.8982, 2.07494, -30.1159, 2.07494, -150.116, 2.07494, 89.8841
6, 0.00000, 126.737, -30.1028, 126.737, -150.103, 126.737, 89.8972, 2.0258, -30.1194, 2.0258, -150.119, 2.0258, 89.8806
7, 0.00000, 126.61, -30.1416, 126.61, -150.142, 126.61, 89.8584, 3.56317, -30.1706, 3.56317, -150.171, 3.56317, 89.8294
8, 0.00000, 125.67, -30.4307, 125.67, -150.431, 125.67, 89.5693, 10.2485, -30.5106, 10.2485, -150.511, 10.2485, 89.4894
9, 0.00000, 126.187, -30.2752, 126.187, -150.275, 126.187, 89.7248, 6.45857, -30.3191, 6.45857, -150.319, 6.45857, 89.6809
10, 0.00000, 126.269, -30.2478, 126.269, -150.248, 126.269, 89.7523, 6.36473, -30.3088, 6.36473, -150.309, 6.36473, 89.6912
11, 0.00000, 126.383, -30.2324, 126.383, -150.232, 126.383, 89.7676, 2.75814, -30.2525, 2.75814, -150.253, 2.75814, 89.7475
12, 0.00000, 125.977, -30.336, 125.977, -150.336, 125.977, 89.664, 8.5451, -30.4249, 8.5451, -150.425, 8.5451, 89.5751
13, 0.00000, 125.844, -30.3625, 125.844, -150.363, 125.844, 89.6375, 10.9254, -30.459, 10.9254, -150.459, 10.9254, 89.541
14, 0.00000, 126.424, -30.2048, 126.424, -150.205, 126.424, 89.7952, 3.24759, -30.2336, 3.24759, -150.234, 3.24759, 89.7664
15, 0.00000, 126.555, -30.1583, 126.555, -150.158, 126.555, 89.8417, 3.67391, -30.1918, 3.67391, -150.192, 3.67391, 89.8082
16, 0.00000, 126.188, -30.2708, 126.188, -150.271, 126.188, 89.7292, 6.34144, -30.3435, 6.34144, -150.344, 6.34144, 89.6565
17, 0.00000, 125.769, -30.4025, 125.769, -150.403, 125.769, 89.5975, 9.60321, -30.4815, 9.60321, -150.482, 9.60321, 89.5185
18, 0.00000, 124.378, -30.8093, 124.378, -150.809, 124.378, 89.1907, 22.6001, -31.0562, 22.6001, -151.056, 22.6001, 88.9438
19, 0.00000, 124.883, -30.6499, 124.883, -150.65, 124.883, 89.3502, 18.9368, -30.8718, 18.9368, -150.872, 18.9368, 89.1282
20, 0.00000, 125.639, -30.4573, 125.639, -150.457, 125.639, 89.5427, 8.81597, -30.5465, 8.81597, -150.546, 8.81597, 89.4535
21, 0.00000, 124.981, -30.6353, 124.981, -150.635, 124.981, 89.3647, 15.3638, -30.7914, 15.3638, -150.791, 15.3638, 89.2086
22, 0.00000, 124.81, -30.6764, 124.81, -150.676, 124.81, 89.3236, 16.8737, -30.8338, 16.8737, -150.834, 16.8737, 89.1662
23, 0.00000, 124.503, -30.7675, 124.503, -150.768, 124.503, 89.2325, 17.8123, -30.9391, 17.8123, -150.939, 17.8123, 89.0609
24, 0.00000, 125.314, -30.5136, 125.314, -150.514, 125.314, 89.4864, 13.4488, -30.6594, 13.4488, -150.659, 13.4488, 89.3406
