hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 0.0949968, 1.13564E-006, 0.0949968, 1.13564E-006, 0.0949968, 1.13564E-006
2, 0.00000, 0.0916644, 9.34894E-007, 0.0916644, 9.34894E-007, 0.0916644, 9.34894E-007
3, 0.00000, 0.0686472, -4.16959E-007, 0.0686472, -4.16959E-007, 0.0686472, -4.16958E-007
4, 0.00000, 0.0616282, -1.04054E-006, 0.0616282, -1.04054E-006, 0.0616282, -1.04054E-006
5, 0.00000, 0.0884385, 7.20131E-007, 0.0884385, 7.20131E-007, 0.0884385, 7.20131E-007
6, 0.00000, 0.113917, 2.28054E-006, 0.113917, 2.28054E-006, 0.113917, 2.28054E-006
7, 0.00000, 0.0919476, 1.14886E-006, 0.0919476, 1.14886E-006, 0.0919476, 1.14886E-006
8, 0.00000, 0.418436, 7.34428E-005, 0.418436, 7.34428E-005, 0.418436, 7.34428E-005
9, 0.00000, 0.174302, 1.28809E-005, 0.174302, 1.28809E-005, 0.174302, 1.28809E-005
10, 0.00000, 0.402396, 6.77554E-005, 0.402396, 6.77554E-005, 0.402396, 6.77554E-005
11, 0.00000, 0.112458, 2.7651E-006, 0.112458, 2.7651E-006, 0.112458, 2.7651E-006
12, 0.00000, 0.211628, 6.73457E-006, 0.211628, 6.73457E-006, 0.211628, 6.73457E-006
13, 0.00000, 0.21073, 6.36923E-006, 0.21073, 6.36923E-006, 0.21073, 6.36923E-006
14, 0.00000, 0.233147, 1.42766E-005, 0.233147, 1.42766E-005, 0.233147, 1.42766E-005
15, 0.00000, 0.147569, 2.83225E-006, 0.147569, 2.83225E-006, 0.147569, 2.83225E-006
16, 0.00000, 0.59277, 0.000107285, 0.59277, 0.000107285, 0.59277, 0.000107285
17, 0.00000, 0.572878, 5.61211E-005, 0.572878, 5.61211E-005, 0.572878, 5.61211E-005
18, 0.00000, 1.18029, 0.000391389, 1.18029, 0.000391389, 1.18029, 0.000391389
19, 0.00000, 0.988059, 0.000306516, 0.988059, 0.000306516, 0.988059, 0.000306516
20, 0.00000, 0.512315, 6.83967E-005, 0.512315, 6.83967E-005, 0.512315, 6.83967E-005
21, 0.00000, 0.932817, 0.000346355, 0.932817, 0.000346355, 0.932817, 0.000346355
22, 0.00000, 0.789237, 0.000221065, 0.789237, 0.000221065, 0.789237, 0.000221065
23, 0.00000, 0.802779, 0.000270696, 0.802779, 0.000270696, 0.802779, 0.000270696
24, 0.00000, 0.412927, 5.88386E-005, 0.412927, 5.88386E-005, 0.412927, 5.88386E-005
