hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 0.470274, 0.000216488, 0.470274, 0.000216488, 0.470274, 0.000216488
2, 0.00000, 0.392571, 0.000121204, 0.392571, 0.000121204, 0.392571, 0.000121204
3, 0.00000, 0.350692, 8.3653E-005, 0.350692, 8.3653E-005, 0.350692, 8.3653E-005
4, 0.00000, 0.211756, 3.68438E-005, 0.211756, 3.68438E-005, 0.211756, 3.68438E-005
5, 0.00000, 0.262976, 6.48117E-005, 0.262976, 6.48117E-005, 0.262976, 6.48117E-005
6, 0.00000, 0.256744, 7.42716E-005, 0.256744, 7.42716E-005, 0.256744, 7.42716E-005
7, 0.00000, 0.451134, 0.000227674, 0.451134, 0.000227674, 0.451134, 0.000227674
8, 0.00000, 1.28793, 0.00179609, 1.28793, 0.00179609, 1.28793, 0.00179609
9, 0.00000, 0.814987, 0.000623958, 0.814987, 0.000623958, 0.814987, 0.000623958
10, 0.00000, 0.803665, 0.000856101, 0.803665, 0.000856101, 0.803665, 0.000856101
11, 0.00000, 0.348583, 0.000122836, 0.348583, 0.000122836, 0.348583, 0.000122836
12, 0.00000, 1.07648, 0.00167154, 1.07648, 0.00167154, 1.07648, 0.00167154
13, 0.00000, 1.37489, 0.00231516, 1.37489, 0.00231516, 1.37489, 0.00231516
14, 0.00000, 0.410573, 0.000206266, 0.410573, 0.000206266, 0.410573, 0.000206266
15, 0.00000, 0.464952, 0.000271655, 0.464952, 0.000271655, 0.464952, 0.000271655
16, 0.00000, 0.800214, 0.00101626, 0.800214, 0.00101626, 0.800214, 0.00101626
17, 0.00000, 1.20778, 0.0016655, 1.20778, 0.0016655, 1.20778, 0.0016655
18, 0.00000, 2.81094, 0.0121128, 2.81094, 0.0121128, 2.81094, 0.0121128
19, 0.00000, 2.36487, 0.00916088, 2.36487, 0.00916088, 2.36487, 0.00916088
20, 0.00000, 1.10763, 0.00172272, 1.10763, 0.00172272, 1.10763, 0.00172272
21, 0.00000, 1.92018, 0.00523084, 1.92018, 0.00523084, 1.92018, 0.00523084
22, 0.00000, 2.106, 0.00578389, 2.106, 0.00578389, 2.106, 0.00578389
23, 0.00000, 2.21767, 0.00664143, 2.21767, 0.00664143, 2.21767, 0.00664143
24, 0.00000, 1.68533, 0.00428689, 1.68533, 0.00428689, 1.68533, 0.00428689
