hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 0.284838, 6.81481E-005, 0.284838, 6.81481E-005, 0.284838, 6.81481E-005
2, 0.00000, 0.177697, 2.21359E-005, 0.177697, 2.21359E-005, 0.177697, 2.21359E-005
3, 0.00000, 0.119343, 6.9462E-006, 0.119343, 6.9462E-006, 0.119343, 6.9462E-006
4, 0.00000, 0.135835, 8.28812E-006, 0.135835, 8.28812E-006, 0.135835, 8.28812E-006
5, 0.00000, 0.157837, 1.70507E-005, 0.157837, 1.70507E-005, 0.157837, 1.70507E-005
6, 0.00000, 0.193077, 2.91361E-005, 0.193077, 2.91361E-005, 0.193077, 2.91361E-005
7, 0.00000, 0.377576, 7.14564E-005, 0.377576, 7.14564E-005, 0.377576, 7.14564E-005
8, 0.00000, 0.860471, 0.000600916, 0.860471, 0.000600916, 0.860471, 0.000600916
9, 0.00000, 0.437871, 0.00014123, 0.437871, 0.00014123, 0.437871, 0.00014123
10, 0.00000, 0.583412, 0.000371291, 0.583412, 0.000371291, 0.583412, 0.000371291
11, 0.00000, 0.208448, 3.28767E-005, 0.208448, 3.28767E-005, 0.208448, 3.28767E-005
12, 0.00000, 0.934309, 0.000761104, 0.934309, 0.000761104, 0.934309, 0.000761104
13, 0.00000, 0.970067, 0.000811674, 0.970067, 0.000811674, 0.970067, 0.000811674
14, 0.00000, 0.301637, 8.48805E-005, 0.301637, 8.48805E-005, 0.301637, 8.48805E-005
15, 0.00000, 0.379186, 0.000108253, 0.379186, 0.000108253, 0.379186, 0.000108253
16, 0.00000, 0.677556, 0.000521492, 0.677556, 0.000521492, 0.677556, 0.000521492
17, 0.00000, 0.759292, 0.000535702, 0.759292, 0.000535702, 0.759292, 0.000535702
18, 0.00000, 2.439, 0.00577963, 2.439, 0.00577963, 2.439, 0.00577963
19, 0.00000, 2.21058, 0.00467954, 2.21058, 0.00467954, 2.21058, 0.00467954
20, 0.00000, 0.909177, 0.000777194, 0.909177, 0.000777194, 0.909177, 0.000777194
21, 0.00000, 1.50781, 0.0024187, 1.50781, 0.0024187, 1.50781, 0.0024187
22, 0.00000, 1.59578, 0.00239931, 1.59578, 0.00239931, 1.59578, 0.00239931
23, 0.00000, 1.74305, 0.00284657, 1.74305, 0.00284657, 1.74305, 0.00284657
24, 0.00000, 1.47935, 0.00207163, 1.47935, 0.00207163, 1.47935, 0.00207163
