hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 0.648309, 0.00039895, 0.648309, 0.00039895, 0.648309, 0.00039895
2, 0.00000, 0.62463, 0.000290533, 0.62463, 0.000290533, 0.62463, 0.000290533
3, 0.00000, 0.56441, 0.000221493, 0.56441, 0.000221493, 0.56441, 0.000221493
4, 0.00000, 0.229817, 5.66002E-005, 0.229817, 5.66002E-005, 0.229817, 5.66002E-005
5, 0.00000, 0.301611, 0.000103337, 0.301611, 0.000103337, 0.301611, 0.000103337
6, 0.00000, 0.28697, 0.00010874, 0.28697, 0.00010874, 0.28697, 0.00010874
7, 0.00000, 0.479058, 0.000327485, 0.479058, 0.000327485, 0.479058, 0.000327485
8, 0.00000, 1.47632, 0.00275838, 1.47632, 0.00275838, 1.47632, 0.00275838
9, 0.00000, 0.890334, 0.000967838, 0.890334, 0.000967838, 0.890334, 0.000967838
10, 0.00000, 0.832718, 0.00115852, 0.832718, 0.00115852, 0.832718, 0.00115852
11, 0.00000, 0.377013, 0.000182381, 0.377013, 0.000182381, 0.377013, 0.000182381
12, 0.00000, 1.11363, 0.00221634, 1.11363, 0.00221634, 1.11363, 0.00221634
13, 0.00000, 1.39791, 0.00317703, 1.39791, 0.00317703, 1.39791, 0.00317703
14, 0.00000, 0.449346, 0.000288568, 0.449346, 0.000288568, 0.449346, 0.000288568
15, 0.00000, 0.483217, 0.000371371, 0.483217, 0.000371371, 0.483217, 0.000371371
16, 0.00000, 0.922088, 0.00138929, 0.922088, 0.00138929, 0.922088, 0.00138929
17, 0.00000, 1.31414, 0.00242824, 1.31414, 0.00242824, 1.31414, 0.00242824
18, 0.00000, 2.9737, 0.0160893, 2.9737, 0.0160893, 2.9737, 0.0160893
19, 0.00000, 2.49304, 0.0119358, 2.49304, 0.0119358, 2.49304, 0.0119358
20, 0.00000, 1.25278, 0.00241592, 1.25278, 0.00241592, 1.25278, 0.00241592
21, 0.00000, 2.07571, 0.00715297, 2.07571, 0.00715297, 2.07571, 0.00715297
22, 0.00000, 2.36934, 0.00829289, 2.36934, 0.00829289, 2.36934, 0.00829289
23, 0.00000, 2.68315, 0.00987379, 2.68315, 0.00987379, 2.68315, 0.00987379
24, 0.00000, 1.93437, 0.00594779, 1.93437, 0.00594779, 1.93437, 0.00594779
