hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 0.0766604, 3.79215E-007, 0.0766604, 3.79215E-007, 0.0766604, 3.79215E-007
2, 0.00000, 0.0733279, 2.62714E-007, 0.0733279, 2.62714E-007, 0.0733279, 2.62714E-007
3, 0.00000, 0.0503121, -5.98862E-007, 0.0503121, -5.98862E-007, 0.0503121, -5.98862E-007
4, 0.00000, 0.043293, -1.09824E-006, 0.043293, -1.09824E-006, 0.043293, -1.09824E-006
5, 0.00000, 0.0701026, 1.32486E-007, 0.0701026, 1.32486E-007, 0.0701026, 1.32486E-007
6, 0.00000, 0.0955788, 1.01222E-006, 0.0955788, 1.01222E-006, 0.0955788, 1.01222E-006
7, 0.00000, 0.0736119, 4.73653E-007, 0.0736119, 4.73653E-007, 0.0736119, 4.73653E-007
8, 0.00000, 0.400042, 5.02259E-005, 0.400042, 5.02259E-005, 0.400042, 5.02259E-005
9, 0.00000, 0.155955, 9.25285E-006, 0.155955, 9.25285E-006, 0.155955, 9.25285E-006
10, 0.00000, 0.384007, 4.65858E-005, 0.384007, 4.65858E-005, 0.384007, 4.65858E-005
11, 0.00000, 0.0941195, 1.52482E-006, 0.0941195, 1.52482E-006, 0.0941195, 1.52482E-006
12, 0.00000, 0.099829, 1.22035E-006, 0.099829, 1.22035E-006, 0.099829, 1.22035E-006
13, 0.00000, 0.119575, 1.64165E-006, 0.119575, 1.64165E-006, 0.119575, 1.64165E-006
14, 0.00000, 0.112878, 3.09982E-006, 0.112878, 3.09982E-006, 0.112878, 3.09982E-006
15, 0.00000, 0.0698877, 9.68173E-009, 0.0698877, 9.6815E-009, 0.0698877, 9.6817E-009
16, 0.00000, 0.515122, 6.22087E-005, 0.515122, 6.22087E-005, 0.515122, 6.22087E-005
17, 0.00000, 0.304849, 1.81415E-005, 0.304849, 1.81415E-005, 0.304849, 1.81415E-005
18, 0.00000, 0.798928, 0.00020142, 0.798928, 0.00020142, 0.798928, 0.00020142
19, 0.00000, 0.743208, 0.000171092, 0.743208, 0.000171092, 0.743208, 0.000171092
20, 0.00000, 0.392172, 3.31812E-005, 0.392172, 3.31812E-005, 0.392172, 3.31812E-005
21, 0.00000, 0.855349, 0.000227345, 0.855349, 0.000227345, 0.855349, 0.000227345
22, 0.00000, 0.770684, 0.000135558, 0.770684, 0.000135558, 0.770684, 0.000135558
23, 0.00000, 0.784215, 0.000181657, 0.784215, 0.000181657, 0.784215, 0.000181657
24, 0.00000, 0.394533, 3.59752E-005, 0.394533, 3.59752E-005, 0.394533, 3.59752E-005
