hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 126.539, -30.1841, 126.539, -150.184, 126.539, 89.8159, 5.1234, -30.2193, 5.1234, -150.219, 5.1234, 89.7807
2, 0.00000, 126.588, -30.1548, 126.588, -150.155, 126.588, 89.8452, 4.93436, -30.1815, 4.93436, -150.181, 4.93436, 89.8185
3, 0.00000, 126.62, -30.1448, 126.62, -150.145, 126.62, 89.8552, 4.45752, -30.1673, 4.45752, -150.167, 4.45752, 89.8327
4, 0.00000, 126.82, -30.0821, 126.82, -150.082, 126.82, 89.9179, 1.81215, -30.0962, 1.81215, -150.096, 1.81215, 89.9038
5, 0.00000, 126.782, -30.0943, 126.782, -150.094, 126.782, 89.9057, 2.37897, -30.1139, 2.37897, -150.114, 2.37897, 89.8861
6, 0.00000, 126.778, -30.0956, 126.778, -150.096, 126.778, 89.9044, 2.26356, -30.1173, 2.26356, -150.117, 2.26356, 89.8827
7, 0.00000, 126.679, -30.1297, 126.679, -150.13, 126.679, 89.8703, 3.78168, -30.1688, 3.78168, -150.169, 3.78168, 89.8312
8, 0.00000, 125.882, -30.3934, 125.882, -150.393, 125.882, 89.6066, 11.7278, -30.5005, 11.7278, -150.5, 11.7278, 89.4995
9, 0.00000, 126.315, -30.2529, 126.315, -150.253, 126.315, 89.7471, 7.04854, -30.3151, 7.04854, -150.315, 7.04854, 89.6849
10, 0.00000, 126.388, -30.2269, 126.388, -150.227, 126.388, 89.7731, 6.5886, -30.3066, 6.5886, -150.307, 6.5886, 89.6934
11, 0.00000, 126.437, -30.2229, 126.437, -150.223, 126.437, 89.7771, 2.98182, -30.2506, 2.98182, -150.251, 2.98182, 89.7494
12, 0.00000, 126.137, -30.308, 126.137, -150.308, 126.137, 89.692, 8.82875, -30.422, 8.82875, -150.422, 8.82875, 89.578
13, 0.00000, 126.045, -30.3274, 126.045, -150.327, 126.045, 89.6726, 11.0906, -30.4576, 11.0906, -150.458, 11.0906, 89.5424
14, 0.00000, 126.488, -30.1935, 126.488, -150.194, 126.488, 89.8065, 3.55248, -30.2303, 3.55248, -150.23, 3.55248, 89.7697
15, 0.00000, 126.624, -30.1463, 126.624, -150.146, 126.624, 89.8537, 3.81615, -30.1903, 3.81615, -150.19, 3.81615, 89.8097
16, 0.00000, 126.32, -30.2476, 126.32, -150.248, 126.32, 89.7524, 7.29962, -30.3339, 7.29962, -150.334, 7.29962, 89.6661
17, 0.00000, 125.958, -30.3694, 125.958, -150.369, 125.958, 89.6306, 10.4332, -30.4752, 10.4332, -150.475, 10.4332, 89.5248
18, 0.00000, 124.81, -30.7335, 124.81, -150.733, 124.81, 89.2665, 23.8261, -31.0435, 23.8261, -151.043, 23.8261, 88.9565
19, 0.00000, 125.244, -30.5866, 125.244, -150.587, 125.244, 89.4134, 19.9057, -30.861, 19.9057, -150.861, 19.9057, 89.139
20, 0.00000, 125.819, -30.4257, 125.819, -150.426, 125.819, 89.5743, 9.957, -30.5362, 9.957, -150.536, 9.957, 89.4638
21, 0.00000, 125.281, -30.5826, 125.281, -150.583, 125.281, 89.4174, 16.5685, -30.78, 16.5685, -150.78, 16.5685, 89.22
22, 0.00000, 125.153, -30.6161, 125.153, -150.616, 125.153, 89.3839, 18.9317, -30.8166, 18.9317, -150.817, 18.9317, 89.1834
23, 0.00000, 124.892, -30.6989, 124.892, -150.699, 124.892, 89.3011, 21.484, -30.9097, 21.484, -150.91, 21.484, 89.0903
24, 0.00000, 125.593, -30.4647, 125.593, -150.465, 125.593, 89.5353, 15.4019, -30.6408, 15.4019, -150.641, 15.4019, 89.3592
