hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 0.819302, 0.00112146, 0.819302, 0.00112146, 0.819302, 0.00112146
2, 0.00000, 0.712161, 0.000885114, 0.712161, 0.000885114, 0.712161, 0.000885114
3, 0.00000, 0.659674, 0.00072979, 0.659674, 0.00072979, 0.659674, 0.00072979
4, 0.00000, 0.336917, 0.000172499, 0.336917, 0.000172499, 0.336917, 0.000172499
5, 0.00000, 0.402186, 0.000271728, 0.402186, 0.000271728, 0.402186, 0.000271728
6, 0.00000, 0.409092, 0.000283571, 0.409092, 0.000283571, 0.409092, 0.000283571
7, 0.00000, 0.568016, 0.000688848, 0.568016, 0.000688848, 0.568016, 0.000688848
8, 0.00000, 1.90439, 0.00675042, 1.90439, 0.00675042, 1.90439, 0.00675042
9, 0.00000, 1.18437, 0.00246326, 1.18437, 0.00246326, 1.18437, 0.00246326
10, 0.00000, 1.02881, 0.00236833, 1.02881, 0.00236833, 1.02881, 0.00236833
11, 0.00000, 1.09437, 0.00117315, 1.09437, 0.00117315, 1.09437, 0.00117315
12, 0.00000, 1.50602, 0.00462684, 1.50602, 0.00462684, 1.50602, 0.00462684
13, 0.00000, 1.58272, 0.00629061, 1.58272, 0.00629061, 1.58272, 0.00629061
14, 0.00000, 0.923186, 0.00116974, 0.923186, 0.00116974, 0.923186, 0.00116974
15, 0.00000, 0.653462, 0.00086677, 0.653462, 0.00086677, 0.653462, 0.00086677
16, 0.00000, 1.18467, 0.00293999, 1.18467, 0.00293999, 1.18467, 0.00293999
17, 0.00000, 1.86081, 0.00592598, 1.86081, 0.00592598, 1.86081, 0.00592598
18, 0.00000, 3.66607, 0.0314949, 3.66607, 0.0314949, 3.66607, 0.0314949
19, 0.00000, 2.90248, 0.0221158, 2.90248, 0.0221158, 2.90248, 0.0221158
20, 0.00000, 2.1359, 0.00672797, 2.1359, 0.00672797, 2.1359, 0.00672797
21, 0.00000, 3.01752, 0.0165486, 3.01752, 0.0165486, 3.01752, 0.0165486
22, 0.00000, 3.22082, 0.0192664, 3.22082, 0.0192664, 3.22082, 0.0192664
23, 0.00000, 3.65854, 0.0241531, 3.65854, 0.0241531, 3.65854, 0.0241531
24, 0.00000, 2.34966, 0.0125892, 2.34966, 0.0125892, 2.34966, 0.0125892
