hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 0.267412, 3.39912E-005, 0.267412, 3.39912E-005, 0.267412, 3.39912E-005
2, 0.00000, 0.160328, 9.75262E-006, 0.160328, 9.75262E-006, 0.160328, 9.75262E-006
3, 0.00000, 0.101993, 2.17062E-006, 0.101993, 2.17062E-006, 0.101993, 2.17062E-006
4, 0.00000, 0.11848, 1.70937E-006, 0.11848, 1.70937E-006, 0.11848, 1.70937E-006
5, 0.00000, 0.140476, 7.64267E-006, 0.140476, 7.64267E-006, 0.140476, 7.64267E-006
6, 0.00000, 0.175702, 1.43276E-005, 0.175702, 1.43276E-005, 0.175702, 1.43276E-005
7, 0.00000, 0.166091, 1.21565E-005, 0.166091, 1.21565E-005, 0.166091, 1.21565E-005
8, 0.00000, 0.643696, 0.000272525, 0.643696, 0.000272525, 0.643696, 0.000272525
9, 0.00000, 0.306631, 5.4421E-005, 0.306631, 5.4421E-005, 0.306631, 5.4421E-005
10, 0.00000, 0.565691, 0.000222677, 0.565691, 0.000222677, 0.565691, 0.000222677
11, 0.00000, 0.186758, 1.52005E-005, 0.186758, 1.52005E-005, 0.186758, 1.52005E-005
12, 0.00000, 0.8656, 0.00037546, 0.8656, 0.00037546, 0.8656, 0.00037546
13, 0.00000, 0.892715, 0.000395023, 0.892715, 0.000395023, 0.892715, 0.000395023
14, 0.00000, 0.284198, 4.63805E-005, 0.284198, 4.63805E-005, 0.284198, 4.63805E-005
15, 0.00000, 0.36169, 4.66946E-005, 0.36169, 4.66947E-005, 0.36169, 4.66946E-005
16, 0.00000, 0.659702, 0.000320278, 0.659702, 0.000320278, 0.659702, 0.000320278
17, 0.00000, 0.680227, 0.000281891, 0.680227, 0.000281891, 0.680227, 0.000281891
18, 0.00000, 2.35604, 0.00305522, 2.35604, 0.00305522, 2.35604, 0.00305522
19, 0.00000, 2.16329, 0.0024635, 2.16329, 0.0024635, 2.16329, 0.0024635
20, 0.00000, 0.854052, 0.000409984, 0.854052, 0.000409984, 0.854052, 0.000409984
21, 0.00000, 1.44148, 0.00139239, 1.44148, 0.00139239, 1.44148, 0.00139239
22, 0.00000, 1.43489, 0.00124701, 1.43489, 0.00124701, 1.43489, 0.00124701
23, 0.00000, 1.57654, 0.00146221, 1.57654, 0.00146221, 1.57654, 0.00146221
24, 0.00000, 1.45947, 0.00108977, 1.45947, 0.00108977, 1.45947, 0.00108977
