hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 126.696, -30.1565, 126.696, -150.156, 126.696, 89.8435, 5.53333, -30.2159, 5.53333, -150.216, 5.53333, 89.7841
2, 0.00000, 126.738, -30.1286, 126.738, -150.129, 126.738, 89.8714, 5.37867, -30.178, 5.37867, -150.178, 5.37867, 89.822
3, 0.00000, 126.758, -30.1205, 126.758, -150.12, 126.758, 89.8795, 4.9646, -30.1638, 4.9646, -150.164, 4.9646, 89.8362
4, 0.00000, 126.884, -30.071, 126.884, -150.071, 126.884, 89.929, 2.32497, -30.092, 2.32497, -150.092, 2.32497, 89.908
5, 0.00000, 126.858, -30.081, 126.858, -150.081, 126.858, 89.919, 2.83937, -30.1093, 2.83937, -150.109, 2.83937, 89.8907
6, 0.00000, 126.856, -30.082, 126.856, -150.082, 126.856, 89.918, 2.8938, -30.1112, 2.8938, -150.111, 2.8938, 89.8888
7, 0.00000, 126.793, -30.1096, 126.793, -150.11, 126.793, 89.8904, 4.19911, -30.1635, 4.19911, -150.163, 4.19911, 89.8365
8, 0.00000, 126.255, -30.3282, 126.255, -150.328, 126.255, 89.6718, 14.0726, -30.4767, 14.0726, -150.477, 14.0726, 89.5233
9, 0.00000, 126.539, -30.2137, 126.539, -150.214, 126.539, 89.7863, 8.63673, -30.2995, 8.63673, -150.3, 8.63673, 89.7005
10, 0.00000, 126.598, -30.1901, 126.598, -150.19, 126.598, 89.8099, 7.78412, -30.2916, 7.78412, -150.292, 7.78412, 89.7084
11, 0.00000, 126.576, -30.1985, 126.576, -150.199, 126.576, 89.8015, 8.30171, -30.224, 8.30171, -150.224, 8.30171, 89.776
12, 0.00000, 126.42, -30.2584, 126.42, -150.258, 126.42, 89.7416, 11.2118, -30.3913, 11.2118, -150.391, 11.2118, 89.6087
13, 0.00000, 126.396, -30.2661, 126.396, -150.266, 126.396, 89.7339, 12.1614, -30.4454, 12.1614, -150.445, 12.1614, 89.5546
14, 0.00000, 126.656, -30.1642, 126.656, -150.164, 126.656, 89.8358, 5.97764, -30.2147, 5.97764, -150.215, 5.97764, 89.7853
15, 0.00000, 126.761, -30.1224, 126.761, -150.122, 126.761, 89.8776, 4.9092, -30.1792, 4.9092, -150.179, 4.9092, 89.8208
16, 0.00000, 126.554, -30.2068, 126.554, -150.207, 126.554, 89.7933, 8.583, -30.3182, 8.583, -150.318, 8.583, 89.6818
17, 0.00000, 126.289, -30.3114, 126.289, -150.311, 126.289, 89.6886, 12.1055, -30.4569, 12.1055, -150.457, 12.1055, 89.5431
18, 0.00000, 125.558, -30.6033, 125.558, -150.603, 125.558, 89.3967, 27.7201, -30.9901, 27.7201, -150.99, 27.7201, 89.0099
19, 0.00000, 125.869, -30.4779, 125.869, -150.478, 125.869, 89.5221, 22.4832, -30.8244, 22.4832, -150.824, 22.4832, 89.1756
20, 0.00000, 126.163, -30.3656, 126.163, -150.366, 126.163, 89.6344, 16.475, -30.4766, 16.475, -150.477, 16.475, 89.5234
21, 0.00000, 125.828, -30.487, 125.828, -150.487, 125.828, 89.513, 22.4052, -30.7134, 22.4052, -150.713, 22.4052, 89.2866
22, 0.00000, 125.755, -30.5109, 125.755, -150.511, 125.755, 89.4891, 23.3127, -30.7669, 23.3127, -150.767, 23.3127, 89.2331
23, 0.00000, 125.582, -30.5782, 125.582, -150.578, 125.582, 89.4218, 25.9343, -30.863, 25.9343, -150.863, 25.9343, 89.137
24, 0.00000, 126.098, -30.3767, 126.098, -150.377, 126.098, 89.6233, 17.992, -30.612, 17.992, -150.612, 17.992, 89.388
