hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 0.682911, 0.000672913, 0.682911, 0.000672913, 0.682911, 0.000672913
2, 0.00000, 0.647838, 0.000536677, 0.647838, 0.000536677, 0.647838, 0.000536677
3, 0.00000, 0.598847, 0.000431482, 0.598847, 0.000431482, 0.598847, 0.000431482
4, 0.00000, 0.273608, 9.88545E-005, 0.273608, 9.88545E-005, 0.273608, 9.88545E-005
5, 0.00000, 0.32645, 0.000164245, 0.32645, 0.000164245, 0.32645, 0.000164245
6, 0.00000, 0.333346, 0.000172313, 0.333346, 0.000172313, 0.333346, 0.000172313
7, 0.00000, 0.492838, 0.000469106, 0.492838, 0.000469106, 0.492838, 0.000469106
8, 0.00000, 1.58304, 0.00425047, 1.58304, 0.00425047, 1.58304, 0.00425047
9, 0.00000, 0.949218, 0.00150105, 0.949218, 0.00150105, 0.949218, 0.00150105
10, 0.00000, 0.900332, 0.00163705, 0.900332, 0.00163705, 0.900332, 0.00163705
11, 0.00000, 0.520503, 0.000341882, 0.520503, 0.000341882, 0.520503, 0.000341882
12, 0.00000, 1.19459, 0.00306278, 1.19459, 0.00306278, 1.19459, 0.00306278
13, 0.00000, 1.51847, 0.00454583, 1.51847, 0.00454583, 1.51847, 0.00454583
14, 0.00000, 0.723225, 0.000603496, 0.723225, 0.000603496, 0.723225, 0.000603496
15, 0.00000, 0.588473, 0.000574413, 0.588473, 0.000574413, 0.588473, 0.000574413
16, 0.00000, 1.0021, 0.00198212, 1.0021, 0.00198212, 1.0021, 0.00198212
17, 0.00000, 1.41709, 0.00362146, 1.41709, 0.00362146, 1.41709, 0.00362146
18, 0.00000, 3.16168, 0.0221189, 3.16168, 0.0221189, 3.16168, 0.0221189
19, 0.00000, 2.66835, 0.0162082, 2.66835, 0.0162082, 2.66835, 0.0162082
20, 0.00000, 1.3729, 0.0035397, 1.3729, 0.0035397, 1.3729, 0.0035397
21, 0.00000, 2.26876, 0.0102425, 2.26876, 0.0102425, 2.26876, 0.0102425
22, 0.00000, 2.52801, 0.0121332, 2.52801, 0.0121332, 2.52801, 0.0121332
23, 0.00000, 2.91092, 0.0149827, 2.91092, 0.0149827, 2.91092, 0.0149827
24, 0.00000, 2.16101, 0.00873832, 2.16101, 0.00873832, 2.16101, 0.00873832
