hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 0.312195, 8.71463E-005, 0.312195, 8.71463E-005, 0.312195, 8.71463E-005
2, 0.00000, 0.22455, 3.17071E-005, 0.22455, 3.17071E-005, 0.22455, 3.17071E-005
3, 0.00000, 0.17716, 1.26746E-005, 0.17716, 1.26746E-005, 0.17716, 1.26746E-005
4, 0.00000, 0.174428, 1.38603E-005, 0.174428, 1.38603E-005, 0.174428, 1.38603E-005
5, 0.00000, 0.215661, 2.56245E-005, 0.215661, 2.56245E-005, 0.215661, 2.56245E-005
6, 0.00000, 0.209433, 3.72693E-005, 0.209433, 3.72693E-005, 0.209433, 3.72693E-005
7, 0.00000, 0.431382, 0.000108021, 0.431382, 0.000108021, 0.431382, 0.000108021
8, 0.00000, 0.990546, 0.00080108, 0.990546, 0.00080108, 0.990546, 0.00080108
9, 0.00000, 0.641303, 0.000229378, 0.641303, 0.000229378, 0.641303, 0.000229378
10, 0.00000, 0.712245, 0.000473601, 0.712245, 0.000473601, 0.712245, 0.000473601
11, 0.00000, 0.320861, 5.38787E-005, 0.320861, 5.38787E-005, 0.320861, 5.38787E-005
12, 0.00000, 1.03868, 0.000980165, 1.03868, 0.000980165, 1.03868, 0.000980165
13, 0.00000, 1.35502, 0.00118245, 1.35502, 0.00118245, 1.35502, 0.00118245
14, 0.00000, 0.363712, 0.000112274, 0.363712, 0.000112274, 0.363712, 0.000112274
15, 0.00000, 0.437086, 0.000146254, 0.437086, 0.000146254, 0.437086, 0.000146254
16, 0.00000, 0.750472, 0.000634023, 0.750472, 0.000634023, 0.750472, 0.000634023
17, 0.00000, 1.13362, 0.000790062, 1.13362, 0.000790062, 1.13362, 0.000790062
18, 0.00000, 2.66117, 0.0072652, 2.66117, 0.0072652, 2.66117, 0.0072652
19, 0.00000, 2.27711, 0.00575833, 2.27711, 0.00575833, 2.27711, 0.00575833
20, 0.00000, 1.01305, 0.000986864, 1.01305, 0.000986864, 1.01305, 0.000986864
21, 0.00000, 1.6634, 0.00299195, 1.6634, 0.00299195, 1.6634, 0.00299195
22, 0.00000, 1.81726, 0.0030841, 1.81726, 0.0030841, 1.81726, 0.0030841
23, 0.00000, 1.9371, 0.0036312, 1.9371, 0.0036312, 1.9371, 0.0036312
24, 0.00000, 1.55779, 0.00257166, 1.55779, 0.00257166, 1.55779, 0.00257166
