hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 0.837367, 0.0015321, 0.837367, 0.0015321, 0.837367, 0.0015321
2, 0.00000, 0.729971, 0.0011967, 0.729971, 0.0011967, 0.729971, 0.0011967
3, 0.00000, 0.677371, 0.000997806, 0.677371, 0.000997806, 0.677371, 0.000997806
4, 0.00000, 0.354107, 0.000244289, 0.354107, 0.000244289, 0.354107, 0.000244289
5, 0.00000, 0.419453, 0.000373266, 0.419453, 0.000373266, 0.419453, 0.000373266
6, 0.00000, 0.426368, 0.00038855, 0.426368, 0.00038855, 0.426368, 0.00038855
7, 0.00000, 0.588542, 0.000890677, 0.588542, 0.000890677, 0.588542, 0.000890677
8, 0.00000, 2.01811, 0.00914525, 2.01811, 0.00914525, 2.01811, 0.00914525
9, 0.00000, 1.28514, 0.00343463, 1.28514, 0.00343463, 1.28514, 0.00343463
10, 0.00000, 1.13234, 0.00312101, 1.13234, 0.00312101, 1.13234, 0.00312101
11, 0.00000, 1.18193, 0.00199357, 1.18193, 0.00199357, 1.18193, 0.00199357
12, 0.00000, 1.57016, 0.00607574, 1.57016, 0.00607574, 1.57016, 0.00607574
13, 0.00000, 1.61478, 0.00782311, 1.61478, 0.00782311, 1.61478, 0.00782311
14, 0.00000, 0.943983, 0.00169219, 0.943983, 0.00169219, 0.943983, 0.00169219
15, 0.00000, 0.671146, 0.00112985, 0.671146, 0.00112985, 0.671146, 0.00112985
16, 0.00000, 1.20388, 0.00379092, 1.20388, 0.00379092, 1.20388, 0.00379092
17, 0.00000, 1.88927, 0.0080245, 1.88927, 0.0080245, 1.88927, 0.0080245
18, 0.00000, 3.79429, 0.0399669, 3.79429, 0.0399669, 3.79429, 0.0399669
19, 0.00000, 2.97887, 0.027337, 2.97887, 0.027337, 2.97887, 0.027337
20, 0.00000, 2.2635, 0.00974134, 2.2635, 0.00974134, 2.2635, 0.00974134
21, 0.00000, 3.08571, 0.0221507, 3.08571, 0.0221507, 3.08571, 0.0221507
22, 0.00000, 3.25391, 0.0254963, 3.25391, 0.0254963, 3.25391, 0.0254963
23, 0.00000, 3.6963, 0.032193, 3.6963, 0.032193, 3.6963, 0.032193
24, 0.00000, 2.37523, 0.0159076, 2.37523, 0.0159076, 2.37523, 0.0159076
