hour, t(sec), V1, VAngle1, V2, VAngle2, V3, VAngle3, I1, IAngle1, I2, IAngle2, I3, IAngle3
1, 0.00000, 126.355, -30.2163, 126.355, -150.216, 126.355, 89.7837, 2.47078, -30.2323, 2.47078, -150.232, 2.47078, 89.7677
2, 0.00000, 126.423, -30.1838, 126.423, -150.184, 126.423, 89.8162, 1.77619, -30.1919, 1.77619, -150.192, 1.77619, 89.8081
3, 0.00000, 126.471, -30.1708, 126.471, -150.171, 126.471, 89.8292, 1.40079, -30.1749, 1.40079, -150.175, 1.40079, 89.8251
4, 0.00000, 126.746, -30.095, 126.746, -150.095, 126.746, 89.905, 1.3762, -30.0995, 1.3762, -150.1, 1.3762, 89.9005
5, 0.00000, 126.688, -30.1107, 126.688, -150.111, 126.688, 89.8893, 1.7023, -30.1175, 1.7023, -150.118, 1.7023, 89.8825
6, 0.00000, 126.687, -30.1115, 126.687, -150.111, 126.687, 89.8885, 1.65315, -30.1217, 1.65315, -150.122, 1.65315, 89.8783
7, 0.00000, 126.523, -30.1569, 126.523, -150.157, 126.523, 89.8431, 3.40952, -30.1713, 3.40952, -150.171, 3.40952, 89.8287
8, 0.00000, 125.419, -30.475, 125.419, -150.475, 125.419, 89.525, 7.89791, -30.5213, 7.89791, -150.521, 7.89791, 89.4787
9, 0.00000, 126.029, -30.303, 126.029, -150.303, 126.029, 89.697, 5.08854, -30.3235, 5.08854, -150.324, 5.08854, 89.6765
10, 0.00000, 126.113, -30.2751, 126.113, -150.275, 126.113, 89.7249, 5.64769, -30.3132, 5.64769, -150.313, 5.64769, 89.6868
11, 0.00000, 126.316, -30.2442, 126.316, -150.244, 126.316, 89.7558, 2.54015, -30.2538, 2.54015, -150.254, 2.54015, 89.7462
12, 0.00000, 125.767, -30.3728, 125.767, -150.373, 125.767, 89.6272, 8.25878, -30.4269, 8.25878, -150.427, 8.25878, 89.5731
13, 0.00000, 125.576, -30.4097, 125.576, -150.41, 125.576, 89.5903, 10.7904, -30.4597, 10.7904, -150.46, 10.7904, 89.5403
14, 0.00000, 126.344, -30.2187, 126.344, -150.219, 126.344, 89.7813, 2.87874, -30.2364, 2.87874, -150.236, 2.87874, 89.7636
15, 0.00000, 126.465, -30.1741, 126.465, -150.174, 126.465, 89.8259, 3.45618, -30.1933, 3.45618, -150.193, 3.45618, 89.8067
16, 0.00000, 126.033, -30.298, 126.033, -150.298, 126.033, 89.702, 5.95459, -30.3464, 5.95459, -150.346, 5.95459, 89.6536
17, 0.00000, 125.533, -30.444, 125.533, -150.444, 125.533, 89.556, 9.03045, -30.4839, 9.03045, -150.484, 9.03045, 89.5161
18, 0.00000, 123.824, -30.9075, 123.824, -150.908, 123.824, 89.0925, 21.4917, -31.0639, 21.4917, -151.064, 21.4917, 88.9361
19, 0.00000, 124.418, -30.7318, 124.418, -150.732, 124.418, 89.2682, 18.3021, -30.8767, 18.3021, -150.877, 18.3021, 89.1233
20, 0.00000, 125.423, -30.4954, 125.423, -150.495, 125.423, 89.5046, 8.07705, -30.5512, 8.07705, -150.551, 8.07705, 89.4488
21, 0.00000, 124.604, -30.7019, 124.604, -150.702, 124.604, 89.2981, 13.3495, -30.805, 13.3495, -150.805, 13.3495, 89.195
22, 0.00000, 124.396, -30.7497, 124.396, -150.75, 124.396, 89.2503, 14.6087, -30.8469, 14.6087, -150.847, 14.6087, 89.1531
23, 0.00000, 124.066, -30.845, 124.066, -150.845, 124.066, 89.155, 15.6136, -30.9524, 15.6136, -150.952, 15.6136, 89.0476
24, 0.00000, 124.985, -30.5718, 124.985, -150.572, 124.985, 89.4282, 12.4638, -30.6664, 12.4638, -150.666, 12.4638, 89.3336
