hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
1, 0.00000, 0.252356, 1.33339E-005, 0.252356, 1.33339E-005, 0.252356, 1.33339E-005
2, 0.00000, 0.12564, 2.89782E-006, 0.12564, 2.89782E-006, 0.12564, 2.89782E-006
3, 0.00000, 0.0869852, 3.63645E-008, 0.0869852, 3.63647E-008, 0.0869852, 3.63648E-008
4, 0.00000, 0.0956023, -1.61054E-006, 0.0956023, -1.61054E-006, 0.0956023, -1.61054E-006
5, 0.00000, 0.106777, 2.76945E-006, 0.106777, 2.76945E-006, 0.106777, 2.76945E-006
6, 0.00000, 0.147894, 6.04469E-006, 0.147894, 6.04469E-006, 0.147894, 6.04469E-006
7, 0.00000, 0.131337, 5.0043E-006, 0.131337, 5.00431E-006, 0.131337, 5.00431E-006
8, 0.00000, 0.59639, 0.000145895, 0.59639, 0.000145895, 0.59639, 0.000145895
9, 0.00000, 0.278737, 2.63416E-005, 0.278737, 2.63416E-005, 0.278737, 2.63416E-005
10, 0.00000, 0.539623, 0.000126226, 0.539623, 0.000126226, 0.539623, 0.000126226
11, 0.00000, 0.152064, 5.40841E-006, 0.152064, 5.40841E-006, 0.152064, 5.40841E-006
12, 0.00000, 0.830341, 0.000146821, 0.830341, 0.000146821, 0.830341, 0.000146821
13, 0.00000, 0.857418, 0.000151128, 0.857418, 0.000151128, 0.857418, 0.000151128
14, 0.00000, 0.267166, 2.28207E-005, 0.267166, 2.28207E-005, 0.267166, 2.28207E-005
15, 0.00000, 0.168152, 7.01009E-006, 0.168152, 7.01009E-006, 0.168152, 7.01009E-006
16, 0.00000, 0.624696, 0.000189051, 0.624696, 0.000189051, 0.624696, 0.000189051
17, 0.00000, 0.638465, 0.000141197, 0.638465, 0.000141197, 0.638465, 0.000141197
18, 0.00000, 2.0716, 0.00129468, 2.0716, 0.00129468, 2.0716, 0.00129468
19, 0.00000, 1.80185, 0.00099132, 1.80185, 0.00099132, 1.80185, 0.00099132
20, 0.00000, 0.757821, 0.000186063, 0.757821, 0.000186063, 0.757821, 0.000186063
21, 0.00000, 1.3804, 0.000743336, 1.3804, 0.000743336, 1.3804, 0.000743336
22, 0.00000, 1.35717, 0.000602082, 1.35717, 0.000602082, 1.35717, 0.000602082
23, 0.00000, 1.39157, 0.000678278, 1.39157, 0.000678278, 1.39157, 0.000678278
24, 0.00000, 1.33067, 0.000428165, 1.33067, 0.000428165, 1.33067, 0.000428165
