hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)"
1, 0.00000, 0.388835, 0.0789523, 7.49295E-12, -6.11302E-8, 0.388834, 0.078952
2, 0.00000, 0.343841, 0.0698158, 2.40821E-11, -6.11391E-8, 0.343836, 0.0698156
3, 0.00000, 0.34383, 0.0698145, 2.09088E-11, -6.11356E-8, 0.343835, 0.0698153
4, 0.00000, 0.184507, 0.0374651, -1.05707E-11, -6.16541E-8, 0.184538, 0.0374633
5, 0.00000, 0.364846, 0.0740816, -4.79703E-12, -6.15831E-8, 0.364839, 0.0740803
6, 0.00000, 0.644266, 0.130812, -1.0999E-11, -6.16307E-8, 0.644274, 0.130815
7, 0.00000, 0.184511, 0.0374651, 1.00857E-11, -6.13289E-8, 0.184484, 0.0374647
8, 0.00000, 0.343827, 0.0698139, 2.1288E-11, -6.00561E-8, 0.343823, 0.0698132
9, 0.00000, 0.184508, 0.037465, 9.58489E-12, -6.06157E-8, 0.184509, 0.0374651
10, 0.00000, 0.343828, 0.0698141, -7.38928E-12, -6.12163E-8, 0.343875, 0.0698224
11, 0.00000, 0.343783, 0.0698059, -8.66599E-11, -6.07514E-8, 0.343853, 0.0698184
12, 0.00000, 0.714582, 0.145088, 1.17286E-11, -6.09294E-8, 0.714576, 0.145086
13, 0.00000, 0.968403, 0.196618, 6.97255E-11, -6.07461E-8, 0.968397, 0.196615
14, 0.00000, 1.33049, 0.270121, -3.92969E-11, -6.11289E-8, 1.33049, 0.270123
15, 0.00000, 0.45223, 0.0918245, -3.89243E-12, -6.15033E-8, 0.452208, 0.0918192
16, 0.00000, 1.7359, 0.352409, -8.11225E-12, -6.12088E-8, 1.73586, 0.352391
17, 0.00000, 1.38637, 0.281462, 1.37604E-11, -6.02935E-8, 1.38636, 0.281459
18, 0.00000, 0.86827, 0.17628, 5.71519E-11, -5.98672E-8, 0.868265, 0.17628
19, 0.00000, 1.64733, 0.334435, 6.14093E-11, -6.06627E-8, 1.64734, 0.334437
20, 0.00000, 3.63647, 0.738064, -5.32844E-11, -6.00823E-8, 3.63646, 0.73807
21, 0.00000, 1.4191, 0.288104, -2.50723E-11, -5.97785E-8, 1.41887, 0.288044
22, 0.00000, 5.27172, 1.0697, 4.92513E-11, -5.93957E-8, 5.27171, 1.06967
23, 0.00000, 2.18651, 0.44386, 4.49087E-11, -5.90974E-8, 2.18652, 0.44386
24, 0.00000, 3.07632, 0.624418, 6.91292E-11, -6.05389E-8, 3.07636, 0.624427
