hour,t(sec),"P1 (kW)","Q1 (kvar)","P2 (kW)","Q2 (kvar)","P3 (kW)","Q3 (kvar)"
1, 0.00000, -3.61096E-12, -2.04654E-8, 0.234004, 0.047516, 0.234003, 0.0475159
2, 0.00000, 2.29242E-12, -2.05472E-8, 0.234003, 0.0475157, 0.234009, 0.047517
3, 0.00000, 6.89739E-12, -2.05695E-8, 0.234004, 0.047516, 0.234008, 0.0475169
4, 0.00000, -3.71722E-12, -2.05762E-8, 0.234018, 0.0475189, 0.234025, 0.0475203
5, 0.00000, -3.85822E-12, -2.05675E-8, 0.234002, 0.0475157, 0.234, 0.0475153
6, 0.00000, -6.17022E-12, -2.05488E-8, 0.234006, 0.0475164, 0.234005, 0.0475163
7, 0.00000, 3.36739E-13, -2.05558E-8, 2.85346, 0.579297, 2.85344, 0.579289
8, 0.00000, 8.72016E-12, -2.03156E-8, 2.91563, 0.591961, 2.91563, 0.591961
9, 0.00000, 6.94014E-12, -2.04314E-8, 1.76889, 0.359161, 1.76889, 0.359162
10, 0.00000, -3.75861E-12, -2.04526E-8, 0.234031, 0.0475217, 0.234031, 0.0475216
11, 0.00000, 4.69884E-12, -2.0331E-8, 0.29211, 0.0593123, 0.292162, 0.0593265
12, 0.00000, -3.95317E-11, -2.00305E-8, 0.914151, 0.185619, 0.914142, 0.185614
13, 0.00000, -3.66517E-11, -2.00687E-8, 1.02977, 0.209095, 1.02977, 0.209093
14, 0.00000, -7.43612E-12, -2.03526E-8, 0.234004, 0.0475161, 0.234006, 0.0475164
15, 0.00000, -1.62344E-11, -2.0411E-8, 0.234015, 0.0475183, 0.234004, 0.047516
16, 0.00000, -9.35664E-12, -2.04085E-8, 0.233991, 0.0475134, 0.233995, 0.0475143
17, 0.00000, -8.63101E-12, -2.01934E-8, 1.05862, 0.214951, 1.05862, 0.214949
18, 0.00000, -7.30622E-11, -1.94254E-8, 1.02509, 0.208144, 1.02505, 0.208121
19, 0.00000, -8.22131E-11, -1.95796E-8, 0.561086, 0.113931, 0.561093, 0.113933
20, 0.00000, -2.27504E-11, -1.98886E-8, 0.73138, 0.148507, 0.731391, 0.148512
21, 0.00000, -1.14935E-11, -1.99177E-8, 0.859628, 0.174532, 0.859613, 0.174533
22, 0.00000, -3.16789E-11, -1.97282E-8, 2.13233, 0.432946, 2.1323, 0.432926
23, 0.00000, -1.99205E-11, -1.97571E-8, 2.19999, 0.44668, 2.2, 0.446684
24, 0.00000, -5.91357E-11, -1.97357E-8, 0.234006, 0.0475164, 0.234006, 0.0475165
