hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
1, 0.00000, 126.503, -30.3329, 126.311, -150.402, 126.304, 89.7429, 23.9511, -41.7975, 41.4952, -161.871, 65.5633, 78.2825
2, 0.00000, 126.731, -30.1871, 126.312, -150.338, 126.332, 89.7532, 12.2345, -41.6579, 50.6412, -161.805, 62.9548, 78.2894
3, 0.00000, 126.764, -30.1754, 126.305, -150.34, 126.377, 89.7692, 8.38885, -41.6485, 50.4578, -161.808, 58.8775, 78.3044
4, 0.00000, 126.739, -30.1859, 126.713, -150.195, 126.781, 89.9146, 9.66333, -41.6593, 12.0937, -161.666, 21.7601, 78.4476
5, 0.00000, 126.737, -30.1868, 126.661, -150.214, 126.711, 89.8897, 10.5933, -41.6595, 17.5098, -161.688, 28.1137, 78.4195
6, 0.00000, 126.675, -30.209, 126.695, -150.202, 126.735, 89.898, 13.9155, -41.6794, 12.0761, -161.677, 25.9958, 78.4289
7, 0.00000, 126.728, -30.2023, 126.482, -150.291, 126.521, 89.821, 11.546, -41.6747, 34.0668, -161.756, 45.6553, 78.3583
8, 0.00000, 126.118, -30.4714, 125.44, -150.714, 125.703, 89.5268, 29.4072, -41.9338, 91.0965, -162.167, 120.644, 78.0834
9, 0.00000, 126.397, -30.3508, 125.895, -150.531, 126.127, 89.6794, 17.9223, -41.8194, 63.8075, -161.99, 81.7539, 78.2265
10, 0.00000, 126.442, -30.3279, 126.372, -150.353, 126.457, 89.798, 22.5639, -41.7937, 28.8877, -161.821, 51.4916, 78.3378
11, 0.00000, 125.932, -30.5069, 125.844, -150.538, 126.652, 89.8682, 12.926, -41.9797, 20.7943, -162.011, 33.5468, 78.402
12, 0.00000, 125.505, -30.6603, 126.206, -150.409, 125.741, 89.5398, 90.5233, -42.0856, 26.5893, -161.878, 117.257, 78.1158
13, 0.00000, 125.727, -30.5653, 126.15, -150.413, 125.395, 89.4156, 93.2756, -41.9891, 54.5694, -161.87, 148.918, 78.0002
14, 0.00000, 126.125, -30.4395, 126.252, -150.394, 126.501, 89.8138, 29.5507, -41.898, 17.9584, -161.867, 47.431, 78.3556
15, 0.00000, 126.37, -30.3296, 126.614, -150.242, 126.488, 89.809, 35.5407, -41.7918, 13.1382, -161.712, 48.6977, 78.3489
16, 0.00000, 126.342, -30.3624, 126.358, -150.356, 126.384, 89.7718, 29.8012, -41.8211, 28.3342, -161.829, 58.1846, 78.3135
17, 0.00000, 125.846, -30.5789, 125.664, -150.644, 125.688, 89.5211, 52.5414, -42.0234, 69.1353, -162.1, 122.058, 78.0868
18, 0.00000, 124.148, -31.2077, 125.448, -150.742, 124.314, 89.0267, 182.032, -42.5845, 64.3126, -162.203, 247.729, 77.6538
19, 0.00000, 124.576, -31.0143, 126.104, -150.466, 124.767, 89.1894, 172.411, -42.4009, 33.3904, -161.937, 206.37, 77.8032
20, 0.00000, 124.963, -30.8767, 125.38, -150.727, 125.665, 89.5125, 81.1229, -42.3055, 43.3116, -162.194, 124.165, 78.0842
21, 0.00000, 125.07, -30.8178, 125.157, -150.786, 125.44, 89.4318, 76.3463, -42.2518, 68.3593, -162.246, 144.763, 78.0051
22, 0.00000, 124.796, -30.9081, 124.972, -150.845, 124.613, 89.1348, 117.416, -42.314, 101.436, -162.296, 220.368, 77.7374
23, 0.00000, 124.825, -30.9146, 124.664, -150.972, 124.531, 89.1059, 105.921, -42.3352, 120.425, -162.422, 227.78, 77.6982
24, 0.00000, 124.938, -30.8254, 125.965, -150.457, 124.882, 89.231, 144.138, -42.2211, 50.6479, -161.925, 195.865, 77.8344
