hour,t(sec),V1,VAngle1,V2,VAngle2,V3,VAngle3,I1,IAngle1,I2,IAngle2,I3,IAngle3
1, 0.00000, 126.209, -30.3184, 126.108, -150.392, 125.807, 89.7674, 3.14375, -41.7962, 4.84743E-7, -60.3987, 3.15378, 78.2896
2, 0.00000, 126.587, -30.18, 126.07, -150.326, 125.944, 89.7724, 2.77168, -41.6577, 4.84963E-7, -60.3482, 2.78578, 78.2946
3, 0.00000, 126.657, -30.1702, 126.058, -150.328, 126.024, 89.7866, 2.77004, -41.648, 4.84978E-7, -60.3477, 2.78401, 78.3088
4, 0.00000, 126.624, -30.1803, 126.645, -150.192, 126.598, 89.9236, 1.48686, -41.6584, 4.86827E-7, -60.1823, 1.48741, 78.4479
5, 0.00000, 126.611, -30.1806, 126.567, -150.209, 126.491, 89.9006, 2.94042, -41.6584, 4.86567E-7, -60.2047, 2.94316, 78.4228
6, 0.00000, 126.502, -30.2005, 126.631, -150.199, 126.497, 89.9097, 5.19684, -41.6778, 4.86697E-7, -60.1883, 5.19712, 78.4322
7, 0.00000, 126.595, -30.1958, 126.285, -150.281, 126.19, 89.8373, 1.48724, -41.6737, 4.85638E-7, -60.2903, 1.49179, 78.3578
8, 0.00000, 125.772, -30.4543, 124.943, -150.689, 124.859, 89.5687, 2.78951, -41.9322, 4.80667E-7, -60.7097, 2.80989, 78.0908
9, 0.00000, 126.185, -30.3403, 125.532, -150.513, 125.552, 89.7078, 1.49204, -41.8184, 4.82871E-7, -60.5221, 1.49958, 78.2298
10, 0.00000, 126.17, -30.3145, 126.207, -150.344, 126.019, 89.8196, 2.78072, -41.7924, 4.85048E-7, -60.3376, 2.78443, 78.3419
11, 0.00000, 125.779, -30.4993, 125.727, -150.532, 126.384, 89.8814, 2.789, -41.9773, 4.83202E-7, -60.4501, 2.77623, 78.4037
12, 0.00000, 124.391, -30.605, 126.056, -150.401, 124.476, 89.6025, 5.86188, -42.0822, 4.83352E-7, -60.4122, 5.8578, 78.1253
13, 0.00000, 124.58, -30.5085, 125.829, -150.397, 123.917, 89.4891, 7.93194, -41.9854, 4.82768E-7, -60.4631, 7.97431, 78.0122
14, 0.00000, 125.721, -30.4195, 126.154, -150.389, 126, 89.8385, 10.7988, -41.8959, 4.84557E-7, -60.3521, 10.7749, 78.362
15, 0.00000, 125.991, -30.3109, 126.54, -150.238, 126.035, 89.8313, 3.66264, -41.7886, 4.86039E-7, -60.2343, 3.66117, 78.3536
16, 0.00000, 125.945, -30.3428, 126.22, -150.35, 125.848, 89.7982, 14.0642, -41.8185, 4.84938E-7, -60.3421, 14.0747, 78.3228
17, 0.00000, 125.136, -30.5437, 125.277, -150.625, 124.586, 89.5757, 11.3049, -42.02, 4.81281E-7, -60.638, 11.3547, 78.0995
18, 0.00000, 121.959, -31.0978, 125.103, -150.725, 121.771, 89.1544, 7.26458, -42.5743, 4.78542E-7, -60.7797, 7.27581, 77.6778
19, 0.00000, 122.556, -30.9132, 125.936, -150.458, 122.576, 89.299, 13.7157, -42.3892, 4.81694E-7, -60.5161, 13.7135, 77.823
20, 0.00000, 123.925, -30.825, 125.158, -150.716, 124.41, 89.5748, 29.9423, -42.298, 4.8005E-7, -60.6649, 29.8257, 78.1017
21, 0.00000, 124.13, -30.771, 124.787, -150.767, 124.13, 89.4969, 11.6656, -42.2471, 4.79043E-7, -60.7434, 11.6636, 78.0213
22, 0.00000, 123.31, -30.8339, 124.432, -150.818, 122.574, 89.2368, 43.623, -42.3043, 4.77334E-7, -60.8652, 43.8849, 77.7668
23, 0.00000, 123.581, -30.8525, 124.064, -150.942, 122.674, 89.1989, 18.0538, -42.3276, 4.76345E-7, -60.9852, 18.1874, 77.7239
24, 0.00000, 123.196, -30.7385, 125.725, -150.445, 122.893, 89.3303, 25.4801, -42.2123, 4.81517E-7, -60.5106, 25.5433, 77.8565
