CODIGO_TRAMO_LINEA_BT,Bus1,Bus2,Phases,Linecode,Length,,
ESE001TBT012685,19,20,3,NYY-3x25 mm²,25.1439,,New Line.ESE001TBT012685 Bus1=19 Bus2=20 phases=3 Linecode=NYY-3x25 mm² Length=25.14394974 Units=m
ESE001TBT013827,18,19,3,AUT_AL-3x120 mm²,153.4075,,New Line.ESE001TBT013827 Bus1=18 Bus2=19 phases=3 Linecode=AUT_AL-3x120 mm² Length=153.4074583 Units=m
ESE001TBT012685,17,18,3,NYY-3x25 mm²,25.1439,,New Line.ESE001TBT012685 Bus1=17 Bus2=18 phases=3 Linecode=NYY-3x25 mm² Length=25.14394974 Units=m
ESE001TBT013827,16,17,3,AUT_AL-3x120 mm²,153.4075,,New Line.ESE001TBT013827 Bus1=16 Bus2=17 phases=3 Linecode=AUT_AL-3x120 mm² Length=153.4074583 Units=m
ESE001TBT002586,15,16,3,N2XY-3x25 mm²,46.1506,,New Line.ESE001TBT002586 Bus1=15 Bus2=16 phases=3 Linecode=N2XY-3x25 mm² Length=46.15064213 Units=m
ESE001TBT013827,14,15,3,AUT_AL-3x120 mm²,153.4075,,New Line.ESE001TBT013827 Bus1=14 Bus2=15 phases=3 Linecode=AUT_AL-3x120 mm² Length=153.4074583 Units=m
ESE001TBT006206,13,14,3,CPI-3x35 mm²,97.6155,,New Line.ESE001TBT006206 Bus1=13 Bus2=14 phases=3 Linecode=CPI-3x35 mm² Length=97.61545809 Units=m
ESE001TBT001185,12,13,3,NYY-3x35 mm²,167.0291,,New Line.ESE001TBT001185 Bus1=12 Bus2=13 phases=3 Linecode=NYY-3x35 mm² Length=167.0291081 Units=m
ESE001TBT001185,11,12,3,NYY-3x35 mm²,167.0291,,New Line.ESE001TBT001185 Bus1=11 Bus2=12 phases=3 Linecode=NYY-3x35 mm² Length=167.0291081 Units=m
ESE001TBT001185,10,11,3,NYY-3x35 mm²,167.0291,,New Line.ESE001TBT001185 Bus1=10 Bus2=11 phases=3 Linecode=NYY-3x35 mm² Length=167.0291081 Units=m
ESE001TBT001185,9,10,3,NYY-3x35 mm²,167.0291,,New Line.ESE001TBT001185 Bus1=9 Bus2=10 phases=3 Linecode=NYY-3x35 mm² Length=167.0291081 Units=m
ESE001TBT006206,8,9,3,CPI-3x35 mm²,97.6155,,New Line.ESE001TBT006206 Bus1=8 Bus2=9 phases=3 Linecode=CPI-3x35 mm² Length=97.61545809 Units=m
ESE001TBT001185,7,8,3,NYY-3x35 mm²,167.0291,,New Line.ESE001TBT001185 Bus1=7 Bus2=8 phases=3 Linecode=NYY-3x35 mm² Length=167.0291081 Units=m
