CODIGO_TRAMO_LINEA_BT,Bus1,Bus2,Phases,Linecode,Length,,
ESE001TBT004085,7,8,3,CPI-3x25 mm²,20.1539,,New Line.ESE001TBT004085 Bus1=7 Bus2=8 phases=3 Linecode=CPI-3x25 mm² Length=20.15390563 Units=m
ESE001TBT004085,6,7,3,CPI-3x25 mm²,20.1539,,New Line.ESE001TBT004085 Bus1=6 Bus2=7 phases=3 Linecode=CPI-3x25 mm² Length=20.15390563 Units=m
ESE001TBT002587,5,6,3,CPI-3x35 mm²,86.9060,,New Line.ESE001TBT002587 Bus1=5 Bus2=6 phases=3 Linecode=CPI-3x35 mm² Length=86.9059615 Units=m
ESE001TBT002587,4,5,3,CPI-3x35 mm²,86.9060,,New Line.ESE001TBT002587 Bus1=4 Bus2=5 phases=3 Linecode=CPI-3x35 mm² Length=86.9059615 Units=m
ESE001TBT002587,3,4,3,CPI-3x35 mm²,86.9060,,New Line.ESE001TBT002587 Bus1=3 Bus2=4 phases=3 Linecode=CPI-3x35 mm² Length=86.9059615 Units=m
ESE001TBT013574,2,3,3,AUT_AL-3x70 mm²,21.1550,,New Line.ESE001TBT013574 Bus1=2 Bus2=3 phases=3 Linecode=AUT_AL-3x70 mm² Length=21.15499587 Units=m
ESE001TBT013574,1,2,3,AUT_AL-3x70 mm²,21.1550,,New Line.ESE001TBT013574 Bus1=1 Bus2=2 phases=3 Linecode=AUT_AL-3x70 mm² Length=21.15499587 Units=m
ESE001TBT002583,1,100,3,CPI-3x25 mm²,53.4565,,New Line.ESE001TBT002583 Bus1=1 Bus2=100 phases=3 Linecode=CPI-3x25 mm² Length=53.45646771 Units=m
ESE001TBT002583,100,101,3,CPI-3x25 mm²,53.4565,,New Line.ESE001TBT002583 Bus1=100 Bus2=101 phases=3 Linecode=CPI-3x25 mm² Length=53.45646771 Units=m
ESE001TBT002583,101,102,3,CPI-3x25 mm²,53.4565,,New Line.ESE001TBT002583 Bus1=101 Bus2=102 phases=3 Linecode=CPI-3x25 mm² Length=53.45646771 Units=m
ESE001TBT013692,102,103,3,NKBA-3x25 mm²,26.0071,,New Line.ESE001TBT013692 Bus1=102 Bus2=103 phases=3 Linecode=NKBA-3x25 mm² Length=26.00710193 Units=m
ESE001TBT002584,103,104,3,CPI-3x25 mm²,49.3470,,New Line.ESE001TBT002584 Bus1=103 Bus2=104 phases=3 Linecode=CPI-3x25 mm² Length=49.34697115 Units=m
ESE001TBT002584,104,104,3,CPI-3x25 mm²,49.3470,,New Line.ESE001TBT002584 Bus1=104 Bus2=104 phases=3 Linecode=CPI-3x25 mm² Length=49.34697115 Units=m
