hour, V1, V2, V3,PU,Vmin,Vmax
1,127.015,127.015,127.015,127.0170592,120.6662063,133.3679122
2,127.015,127.015,127.015,127.0170592,120.6662063,133.3679122
3,127.015,127.015,127.015,127.0170592,120.6662063,133.3679122
4,127.016,127.016,127.016,127.0170592,120.6662063,133.3679122
5,127.016,127.016,127.016,127.0170592,120.6662063,133.3679122
6,127.016,127.016,127.016,127.0170592,120.6662063,133.3679122
7,127.017,127.017,127.017,127.0170592,120.6662063,133.3679122
8,126.989,126.989,126.989,127.0170592,120.6662063,133.3679122
9,126.994,126.994,126.994,127.0170592,120.6662063,133.3679122
10,126.995,126.995,126.995,127.0170592,120.6662063,133.3679122
11,126.996,126.996,126.996,127.0170592,120.6662063,133.3679122
12,126.991,126.991,126.991,127.0170592,120.6662063,133.3679122
13,126.99,126.99,126.99,127.0170592,120.6662063,133.3679122
14,126.995,126.995,126.995,127.0170592,120.6662063,133.3679122
15,126.996,126.996,126.996,127.0170592,120.6662063,133.3679122
16,126.992,126.992,126.992,127.0170592,120.6662063,133.3679122
17,126.988,126.988,126.988,127.0170592,120.6662063,133.3679122
18,127.005,127.005,127.005,127.0170592,120.6662063,133.3679122
19,127.009,127.009,127.009,127.0170592,120.6662063,133.3679122
20,127.013,127.013,127.013,127.0170592,120.6662063,133.3679122
21,127.007,127.007,127.007,127.0170592,120.6662063,133.3679122
22,127.006,127.006,127.006,127.0170592,120.6662063,133.3679122
23,127.004,127.004,127.004,127.0170592,120.6662063,133.3679122
24,127.01,127.01,127.01,127.0170592,120.6662063,133.3679122
