h,P_BESS,P_EV_1,P_EV_2
1,0.0,0.0,0.0
2,0.0,32.842105,0.0
3,0.0,0.0,0.0
4,0.0,80.0,0.0
5,0.0,0.0,0.0
6,0.0,80.0,0.0
7,0.0,80.0,0.0
8,67.311205,0.0,11.0
9,109.5504,0.0,11.0
10,164.45054,0.0,11.0
11,205.14395,0.0,11.0
12,169.43046,0.0,11.0
13,163.88422,0.0,11.0
14,64.507675,0.0,11.0
15,11.971534,0.0,11.0
16,-49.033893,0.0,2.9473684
17,-71.797551,0.0,0.0
18,-269.74518,0.0,0.0
19,-286.73406,0.0,0.0
20,-278.93931,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
