hour, V1, V2, V3,PU,Vmin,Vmax
1,125.674,125.674,125.674,127.0170592,120.6662063,133.3679122
2,125.728,125.728,125.728,127.0170592,120.6662063,133.3679122
3,125.769,125.769,125.769,127.0170592,120.6662063,133.3679122
4,126.02,126.02,126.02,127.0170592,120.6662063,133.3679122
5,125.972,125.972,125.972,127.0170592,120.6662063,133.3679122
6,125.969,125.969,125.969,127.0170592,120.6662063,133.3679122
7,126.61,126.61,126.61,127.0170592,120.6662063,133.3679122
8,122.692,122.692,122.692,127.0170592,120.6662063,133.3679122
9,123.207,123.207,123.207,127.0170592,120.6662063,133.3679122
10,123.289,123.289,123.289,127.0170592,120.6662063,133.3679122
11,123.407,123.407,123.407,127.0170592,120.6662063,133.3679122
12,122.998,122.998,122.998,127.0170592,120.6662063,133.3679122
13,122.865,122.865,122.865,127.0170592,120.6662063,133.3679122
14,123.444,123.444,123.444,127.0170592,120.6662063,133.3679122
15,123.578,123.578,123.578,127.0170592,120.6662063,133.3679122
16,123.207,123.207,123.207,127.0170592,120.6662063,133.3679122
17,122.789,122.789,122.789,127.0170592,120.6662063,133.3679122
18,124.377,124.377,124.377,127.0170592,120.6662063,133.3679122
19,124.882,124.882,124.882,127.0170592,120.6662063,133.3679122
20,125.638,125.638,125.638,127.0170592,120.6662063,133.3679122
21,124.188,124.188,124.188,127.0170592,120.6662063,133.3679122
22,124.014,124.014,124.014,127.0170592,120.6662063,133.3679122
23,123.702,123.702,123.702,127.0170592,120.6662063,133.3679122
24,124.526,124.526,124.526,127.0170592,120.6662063,133.3679122
