hour, V1, V2, V3,PU,Vmin,Vmax
1,126.446,126.446,126.446,127.0170592,120.6662063,133.3679122
2,126.499,126.499,126.499,127.0170592,120.6662063,133.3679122
3,126.539,126.539,126.539,127.0170592,120.6662063,133.3679122
4,126.787,126.787,126.787,127.0170592,120.6662063,133.3679122
5,126.739,126.739,126.739,127.0170592,120.6662063,133.3679122
6,126.737,126.737,126.737,127.0170592,120.6662063,133.3679122
7,126.61,126.61,126.61,127.0170592,120.6662063,133.3679122
8,125.67,125.67,125.67,127.0170592,120.6662063,133.3679122
9,126.187,126.187,126.187,127.0170592,120.6662063,133.3679122
10,126.269,126.269,126.269,127.0170592,120.6662063,133.3679122
11,126.383,126.383,126.383,127.0170592,120.6662063,133.3679122
12,125.977,125.977,125.977,127.0170592,120.6662063,133.3679122
13,125.844,125.844,125.844,127.0170592,120.6662063,133.3679122
14,126.424,126.424,126.424,127.0170592,120.6662063,133.3679122
15,126.555,126.555,126.555,127.0170592,120.6662063,133.3679122
16,126.188,126.188,126.188,127.0170592,120.6662063,133.3679122
17,125.769,125.769,125.769,127.0170592,120.6662063,133.3679122
18,124.378,124.378,124.378,127.0170592,120.6662063,133.3679122
19,124.883,124.883,124.883,127.0170592,120.6662063,133.3679122
20,125.639,125.639,125.639,127.0170592,120.6662063,133.3679122
21,124.981,124.981,124.981,127.0170592,120.6662063,133.3679122
22,124.81,124.81,124.81,127.0170592,120.6662063,133.3679122
23,124.503,124.503,124.503,127.0170592,120.6662063,133.3679122
24,125.314,125.314,125.314,127.0170592,120.6662063,133.3679122
