hour, V1, V2, V3, Vmin, Vmax, V1ev, V2ev, V3ev, V1c, V2c, V3c
1,  126.209,  126.108 , 125.807 , 120.65 , 133.5, 126.209, 125.713, 125.410, 126.328, 126.721, 126.365
2,  126.587,  126.07  , 125.944 , 120.65 , 133.5, 126.587, 125.674, 125.548, 126.482, 126.741, 126.401
3,  126.657,  126.058 , 126.024 , 120.65 , 133.5, 126.657, 125.663, 125.628, 126.504, 126.737, 126.427
4,  126.624,  126.645 , 126.598 , 120.65 , 133.5, 126.624, 126.253, 126.206, 126.491, 126.941, 126.627
5,  126.611,  126.567 , 126.491 , 120.65 , 133.5, 126.611, 126.174, 126.098, 126.487, 126.914, 126.591
6,  126.502,  126.631 , 126.497 , 120.65 , 133.5, 126.502, 126.239, 126.104, 126.452, 126.934, 126.596
7,  126.595,  126.285 , 126.19 , 120.65 ,  133.5, 126.595, 126.285, 126.190, 126.829, 126.716, 126.745
8,  125.772,  124.943 , 124.859 , 120.65 , 133.5, 125.15 , 124.943, 124.229, 126.086, 126.255, 125.922
9,  126.185,  125.532 , 125.552 , 120.65 , 133.5, 125.567, 125.532, 124.929, 126.237, 126.478, 126.152
10, 126.17,   126.207 , 126.019 , 120.65 , 133.5, 125.552, 126.207, 125.400, 126.245, 126.717, 126.315
11, 125.779,  125.727 , 126.384 , 120.65 , 133.5, 125.158, 125.727, 125.768, 126.067, 126.517, 126.43
12, 124.391,  126.056 , 124.476 , 120.65 , 133.5, 123.754, 126.056, 123.841, 125.685, 126.653, 125.844
13, 124.58,   125.829 , 123.917 , 120.65 , 133.5, 123.945, 125.829, 123.276, 125.774, 126.599, 125.66
14, 125.721,  126.154 , 126 , 120.65 ,     133.5, 124.857, 125.917, 125.380, 125.789, 126.813, 126.147
15, 125.991,  126.54  , 126.035 , 120.65 , 133.5, 125.132, 126.305, 125.416, 125.903, 126.974, 126.153
16, 125.945,  126.22  , 125.848 , 120.65 , 133.5, 125.085, 125.983, 125.227, 125.878, 126.846, 126.092
17, 125.136,  125.277 , 124.586 , 120.65 , 133.5, 124.264, 125.036, 123.952, 125.591, 126.491, 125.684
18, 121.959,  125.103 , 121.771 , 120.65 , 133.5, 121.706, 124.861, 121.771, 125.01, 126.358, 125.214
19, 122.556,  125.936 , 122.576 , 120.65 , 133.5, 122.305, 125.698, 122.576, 125.237, 126.681, 125.47
20, 123.925,  125.158 , 124.41 , 120.65 ,  133.5, 123.679, 124.916, 124.410, 125.601, 126.378, 126.029
21, 124.13,   124.787 , 124.13 , 120.65 ,  133.5, 124.13 , 124.382, 123.721, 125.621, 126.23, 125.837
22, 123.31,   124.432 , 122.574 , 120.65 , 133.5, 123.31 , 124.025, 122.154, 125.398, 126.121, 125.35
23, 123.581,  124.064 , 122.674 , 120.65 , 133.5, 123.581, 123.654, 122.254, 125.453, 125.976, 125.355
24, 123.196,  125.725 , 122.893 , 120.65 , 133.5, 123.196, 125.327, 122.476, 125.416, 126.601, 125.469
